"1","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6"
"2","NR.1","NR.3","VP.1","VP.3","VP.5","VP.6","NR.2","NR.4","NR.5","NR.6","VP.2","VP.4"
"3","NR.1","NR.2","NR.3","NR.6","VP.5","VP.6","NR.4","NR.5","VP.1","VP.2","VP.3","VP.4"
"4","NR.1","NR.2","NR.4","NR.5","NR.6","VP.3","NR.3","VP.1","VP.2","VP.4","VP.5","VP.6"
"5","NR.1","NR.6","VP.3","VP.4","VP.5","VP.6","NR.2","NR.3","NR.4","NR.5","VP.1","VP.2"
"6","NR.1","NR.4","NR.6","VP.4","VP.5","VP.6","NR.2","NR.3","NR.5","VP.1","VP.2","VP.3"
"7","NR.1","NR.2","NR.4","NR.5","NR.6","VP.4","NR.3","VP.1","VP.2","VP.3","VP.5","VP.6"
"8","NR.1","NR.2","NR.5","NR.6","VP.1","VP.4","NR.3","NR.4","VP.2","VP.3","VP.5","VP.6"
"9","NR.1","NR.3","NR.4","VP.2","VP.4","VP.6","NR.2","NR.5","NR.6","VP.1","VP.3","VP.5"
"10","NR.1","NR.6","VP.1","VP.2","VP.3","VP.6","NR.2","NR.3","NR.4","NR.5","VP.4","VP.5"
"11","NR.1","NR.2","NR.3","NR.4","NR.6","VP.2","NR.5","VP.1","VP.3","VP.4","VP.5","VP.6"
"12","NR.1","NR.2","NR.4","NR.5","VP.2","VP.3","NR.3","NR.6","VP.1","VP.4","VP.5","VP.6"
"13","NR.1","NR.4","NR.5","VP.1","VP.2","VP.3","NR.2","NR.3","NR.6","VP.4","VP.5","VP.6"
"14","NR.1","NR.2","VP.1","VP.2","VP.3","VP.4","NR.3","NR.4","NR.5","NR.6","VP.5","VP.6"
"15","NR.1","NR.2","NR.3","NR.6","VP.4","VP.5","NR.4","NR.5","VP.1","VP.2","VP.3","VP.6"
"16","NR.1","NR.5","NR.6","VP.2","VP.5","VP.6","NR.2","NR.3","NR.4","VP.1","VP.3","VP.4"
"17","NR.1","NR.2","NR.4","NR.5","VP.1","VP.3","NR.3","NR.6","VP.2","VP.4","VP.5","VP.6"
"18","NR.1","NR.2","NR.3","NR.6","VP.1","VP.6","NR.4","NR.5","VP.2","VP.3","VP.4","VP.5"
"19","NR.1","NR.2","NR.3","VP.1","VP.2","VP.3","NR.4","NR.5","NR.6","VP.4","VP.5","VP.6"
"20","NR.1","NR.2","NR.3","NR.6","VP.2","VP.6","NR.4","NR.5","VP.1","VP.3","VP.4","VP.5"
