"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40021",9202,4446,5833,15838,9222,10859,12443,12105,15677,11881,26255,7928,-0.812328798735432,10.7090240228838,-2.77453484697459,0.0148980382296887,0.999367448389815,-4.38561290793499
"2","GB40118",304,337,257,223,304,173,140,255,296,52,73,101,0.974368329495012,4.83200632786787,2.40463763783222,0.0305809505143682,0.999367448389815,-4.27878733445563
"3","GB40138",18,4,12,16,18,8,25,43,31,20,18,8,-1.02670525431243,1.33519149094504,-2.67529304608059,0.0180997104586109,0.999367448389815,-4.46234136889686
"4","GB40158",85,11,28,22,27,11,93,40,64,39,63,29,-1.17667704657315,2.4628996240804,-2.61374422295435,0.0204108930038906,0.999367448389815,-4.41141139178751
"5","GB40211",151,120,171,210,69,117,106,129,64,88,102,57,0.51986939784444,4.07976828562819,2.468332506983,0.027057017220561,0.999367448389815,-4.30511972802864
"6","GB40421",18,4,16,6,22,3,29,24,15,21,34,9,-1.32181595029075,1.13069351559876,-2.74505611173947,0.0157865667537521,0.999367448389815,-4.4657585352271
"7","GB40445",30,32,22,25,23,21,17,15,14,9,16,15,0.736593737636234,1.59973762469665,2.42244791112173,0.0295538308805152,0.999367448389815,-4.47356650184402
"8","GB40591",19,10,17,21,10,11,10,14,5,2,4,10,0.986549209658592,0.637806948601259,2.40315742674669,0.0306678268653409,0.999367448389815,-4.50525573104717
"9","GB40750",21,10,5,37,30,7,36,27,66,21,46,13,-1.12807801262572,1.75015618592534,-2.55550141091985,0.0228588363007073,0.999367448389815,-4.45548075634515
"10","GB40846",9,4,8,20,10,6,19,17,13,9,17,8,-0.694763799549429,0.791708887226912,-2.32937740733406,0.0353077350300807,0.999367448389815,-4.50715366171533
"11","GB41257",37,30,32,75,33,29,65,101,53,35,85,23,-0.672849835672357,2.82017593723859,-3.68278896456132,0.0024561526362544,0.999367448389815,-4.24853599787059
"12","GB41517",45,58,99,110,42,62,67,54,39,12,36,27,0.781609618889479,2.90435991067837,2.5367570218125,0.0237051176635244,0.999367448389815,-4.39114852783919
"13","GB41827",96,96,72,142,82,81,80,97,58,56,97,28,0.395278693881913,3.60119490660804,2.66597922748679,0.0184324054963049,0.999367448389815,-4.30912755525723
