"1","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","NR.1","NR.5","VR.2","VR.3","VR.4","VR.5","NR.2","NR.3","NR.4","NR.6","VR.1","VR.6"
"3","NR.1","NR.4","NR.6","VR.1","VR.2","VR.6","NR.2","NR.3","NR.5","VR.3","VR.4","VR.5"
"4","NR.1","NR.3","NR.4","VR.1","VR.2","VR.6","NR.2","NR.5","NR.6","VR.3","VR.4","VR.5"
"5","NR.1","NR.4","NR.5","VR.1","VR.3","VR.4","NR.2","NR.3","NR.6","VR.2","VR.5","VR.6"
"6","NR.1","NR.2","NR.4","NR.5","VR.2","VR.5","NR.3","NR.6","VR.1","VR.3","VR.4","VR.6"
"7","NR.1","NR.4","NR.5","NR.6","VR.3","VR.6","NR.2","NR.3","VR.1","VR.2","VR.4","VR.5"
"8","NR.1","NR.4","NR.6","VR.1","VR.5","VR.6","NR.2","NR.3","NR.5","VR.2","VR.3","VR.4"
"9","NR.1","NR.2","NR.3","VR.1","VR.2","VR.5","NR.4","NR.5","NR.6","VR.3","VR.4","VR.6"
"10","NR.1","NR.2","NR.4","VR.4","VR.5","VR.6","NR.3","NR.5","NR.6","VR.1","VR.2","VR.3"
"11","NR.1","NR.2","NR.6","VR.1","VR.2","VR.6","NR.3","NR.4","NR.5","VR.3","VR.4","VR.5"
"12","NR.1","NR.5","NR.6","VR.2","VR.4","VR.6","NR.2","NR.3","NR.4","VR.1","VR.3","VR.5"
"13","NR.1","NR.2","NR.5","VR.1","VR.4","VR.6","NR.3","NR.4","NR.6","VR.2","VR.3","VR.5"
"14","NR.1","NR.5","VR.1","VR.2","VR.3","VR.5","NR.2","NR.3","NR.4","NR.6","VR.4","VR.6"
"15","NR.1","NR.4","NR.6","VR.4","VR.5","VR.6","NR.2","NR.3","NR.5","VR.1","VR.2","VR.3"
"16","NR.1","NR.2","VR.1","VR.2","VR.4","VR.5","NR.3","NR.4","NR.5","NR.6","VR.3","VR.6"
"17","NR.1","NR.2","NR.6","VR.3","VR.4","VR.6","NR.3","NR.4","NR.5","VR.1","VR.2","VR.5"
"18","NR.1","NR.3","NR.5","VR.3","VR.4","VR.6","NR.2","NR.4","NR.6","VR.1","VR.2","VR.5"
"19","NR.1","NR.3","NR.4","NR.5","NR.6","VR.6","NR.2","VR.1","VR.2","VR.3","VR.4","VR.5"
"20","NR.1","NR.2","NR.4","NR.6","VR.1","VR.2","NR.3","NR.5","VR.3","VR.4","VR.5","VR.6"
