"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40442",102,103,92,201,105,96,113,208,195,171,130,249,-0.471622764070242,4.19685970184942,-2.83406251122777,0.0136245602310547,0.906423473791415,-4.1175825279786
"2","GB40464",7,28,20,19,24,21,6,8,14,10,2,17,1.26663114450596,0.737379462103898,2.85509707039631,0.0130778785890718,0.906423473791415,-4.42783325089033
"3","GB40500",258,147,318,372,325,332,257,493,492,336,408,533,-0.387506273968495,5.48010902618509,-2.72779971507355,0.0167473753985409,0.906423473791415,-4.06954125318289
"4","GB40594",45,26,48,60,103,94,58,115,150,103,94,134,-0.727094264938037,3.35238148016883,-2.9116583052456,0.0117125770385985,0.906423473791415,-4.21407302110843
"5","GB40624",116,155,81,201,118,227,204,227,290,401,187,445,-0.8370690876397,4.70746481761907,-2.96925569436997,0.0104667308880773,0.906423473791415,-4.03090225460824
"6","GB40701",860,526,503,1135,583,952,765,1493,1333,1101,1084,1723,-0.592945671952382,6.94823442616794,-3.24254033541103,0.00612952242939073,0.906423473791415,-4.02783956798192
"7","GB40704",33,37,24,34,55,41,20,30,15,21,20,36,0.794548857222935,1.94492970619649,3.01811096847128,0.00951330095700928,0.906423473791415,-4.33450470547411
"8","GB40713",4877,2419,3255,4909,3085,3608,2042,3190,3268,2500,2562,3616,0.492129654741124,8.70901359282461,3.09621868730229,0.00816469626887971,0.906423473791415,-4.19447778940616
"9","GB40823",92,51,61,69,113,52,40,57,49,65,42,49,0.641591314054863,2.97020256886904,2.79966880383709,0.0145671181517522,0.906423473791415,-4.27706806930231
"10","GB41034",274,287,195,290,286,204,169,220,231,185,176,222,0.488394090141565,4.88969883241609,2.89739303036862,0.0120430734005306,0.906423473791415,-4.02226193239129
"11","GB41134",531,519,512,592,496,439,385,558,403,377,400,539,0.378800666545852,5.96764020375972,2.71652807947281,0.0171170509637497,0.906423473791415,-4.09078560957004
"12","GB41260",28,27,31,36,30,30,30,71,52,43,37,58,-0.491919483432314,2.32710350059803,-3.13001165515327,0.00764178821327503,0.906423473791415,-4.28651994463385
"13","GB41385",56,36,80,77,92,96,58,164,139,105,107,122,-0.530683988504547,3.53655625908011,-2.80443714526318,0.0144327231508952,0.906423473791415,-4.21275116568664
"14","GB41428",95996,40014,132138,110934,47020,20783,37315,17425,20814,19541,21468,14772,1.67089852996481,12.2105057935253,3.69119386305123,0.0025491579455882,0.906423473791415,-4.31478924993759
"15","GB41625",534,464,638,898,779,1435,531,1308,2263,1688,1399,3146,-0.877289466176291,7.11869928535383,-2.79241461481756,0.0147739306049185,0.906423473791415,-4.15702579141573
"16","GB41663",1828,1520,1426,2353,1383,1614,1050,1834,1365,1369,1315,1539,0.399708532682594,7.64786352754299,2.76015516447474,0.0157289689881033,0.906423473791415,-4.20097032259647
"17","GB41706",87,14,9,107,14,8,12,9,2,2,3,11,2.23588980537067,0.587728758460358,2.96857097863163,0.0104807435454824,0.906423473791415,-4.4224263466721
"18","GB41724",124,61,135,170,184,207,134,207,280,248,274,304,-0.598902689625628,4.56387663433328,-2.72545535038244,0.0168236164252758,0.906423473791415,-4.11099373416495
"19","GB41833",69,41,72,60,52,63,30,52,43,33,42,68,0.572665128442478,2.74104613503981,3.16603857394317,0.00712098445748661,0.906423473791415,-4.23814664330015
"20","GB41946",576,572,746,1328,577,769,1040,1694,1253,965,773,1986,-0.604091642755526,6.95471923170663,-3.18645436699451,0.00684171844184057,0.906423473791415,-4.04247034597632
"21","GB42053",36054,15128,14221,15942,32831,36283,3300,9623,15808,8724,15699,15017,1.3581020576029,10.9697810743908,3.5060060387359,0.00365882524160565,0.906423473791415,-4.27280423318738
"22","GB42455",807,749,1041,1084,1009,1272,840,1589,2027,1527,1352,1834,-0.439720737079234,7.30809666514416,-2.75123090512139,0.0160036616879675,0.906423473791415,-4.18119101084444
"23","GB42563",12,8,10,13,14,13,13,23,19,17,18,24,-0.53168298511433,0.997929106391383,-2.84049156011958,0.0134551327506694,0.906423473791415,-4.41520957415426
"24","GB42683",21,8,27,29,22,22,25,44,56,33,34,34,-0.679052822980822,1.86236203457594,-2.97711945383302,0.0103071210222063,0.906423473791415,-4.34670996198224
"25","GB42891",21,13,31,110,16,11,18,76,79,109,67,131,-1.36743556385121,2.42666405406404,-2.84008029203573,0.0134659088754256,0.906423473791415,-4.32547328825424
"26","GB42969",114,85,175,242,165,179,139,317,331,232,177,309,-0.495678294579532,4.65352839985341,-2.96711500336102,0.0105106016198641,0.906423473791415,-4.02608027868608
"27","GB43135",53,31,74,84,69,66,79,121,148,75,81,97,-0.52485433732265,3.34124401549271,-2.93927340614186,0.0110979938825436,0.906423473791415,-4.20861083242007
"28","GB43206",24,15,26,38,36,55,30,63,69,61,44,64,-0.665585913979364,2.41259365731863,-2.89586043944072,0.0120791220750418,0.906423473791415,-4.31393199600904
"29","GB43314",46,24,46,150,61,49,69,132,171,77,87,126,-0.791495903122334,3.31126114772528,-3.02175954105781,0.00944564988480667,0.906423473791415,-4.19770062293083
"30","GB43377",99,50,55,65,87,81,42,72,58,43,46,48,0.618206149353945,2.99164384634768,3.09068472629976,0.00825365501875856,0.906423473791415,-4.22209865224254
"31","GB43549",61,57,41,38,72,87,32,38,33,27,53,35,0.809061166125557,2.58535000981918,2.74208082323027,0.0162901697653358,0.906423473791415,-4.32291205353249
"32","GB43572",2351,2989,3645,6127,2609,6216,4378,8880,8827,5612,5324,8495,-0.700421892309155,9.35422426667448,-2.97281511021173,0.0103941854446739,0.906423473791415,-4.25811318824321
"33","GB43615",20,9,24,29,14,22,17,54,50,28,28,37,-0.693165966934147,1.73653133919507,-2.90963607681872,0.011758878475056,0.906423473791415,-4.36397096073179
"34","GB44146",560,286,591,732,478,715,514,1010,902,785,793,1432,-0.542873635101195,6.48983613260767,-3.09969220769811,0.00810934669084984,0.906423473791415,-4.0204692523585
"35","GB44512",400,290,390,506,387,354,239,382,404,356,328,387,0.295693060523806,5.58362752723977,2.6900634969811,0.0180165424712638,0.906423473791415,-4.0813386714085
"36","GB44570",280,210,385,492,351,390,445,768,482,430,343,764,-0.451602541126401,5.78650571667818,-2.918255304667,0.0115627760791851,0.906423473791415,-4.01938459705736
"37","GB44616",173,81,89,124,92,109,29,80,74,68,53,142,0.793706526875372,3.49166532388811,3.15647300042411,0.00725571290325868,0.906423473791415,-4.14308010698413
"38","GB44710",211,312,238,420,280,756,292,942,1336,815,529,1225,-1.01804613882491,6.05771561585353,-3.08168393905614,0.00840040474887014,0.906423473791415,-3.99727825862397
"39","GB44751",36,24,45,68,35,52,33,103,92,63,54,86,-0.565333740437663,2.80768671958586,-2.81433202598445,0.0141577024845905,0.906423473791415,-4.29095695321733
"40","GB44777",126,115,136,158,130,121,115,134,110,101,78,112,0.438162683674781,3.96740342767075,3.00627668004232,0.00973604932568374,0.906423473791415,-4.10026096209048
"41","GB45044",180,84,290,317,217,242,323,398,334,309,265,408,-0.550775821474716,5.11453019040653,-2.81670292854858,0.0140925718150538,0.906423473791415,-4.04542287678023
"42","GB45300",58,20,45,56,43,51,36,96,111,87,61,136,-0.763164614406968,2.97420255233774,-3.15445145627633,0.00728450932971549,0.906423473791415,-4.21476454720953
"43","GB45806",124,59,104,162,99,103,100,319,275,155,129,197,-0.651597409284039,4.18099487992002,-3.36663347535541,0.00480635662028838,0.906423473791415,-3.9849695031675
"44","GB45814",143,99,173,250,149,151,179,291,230,187,183,248,-0.320365041142206,4.59690816682927,-2.68315157478539,0.0182589474591893,0.906423473791415,-4.11449261395082
"45","GB46404",47,21,46,82,51,56,56,131,107,71,65,93,-0.665516264586364,3.05759937512763,-3.50207039494436,0.00368709085214735,0.906423473791415,-4.14438450889611
"46","GB46948",3,3,13,14,9,8,5,26,22,13,20,26,-1.02543756162627,0.584830487585073,-2.72714534972683,0.0167686220233186,0.906423473791415,-4.44567713246776
"47","GB47118",44,50,70,114,86,88,60,209,273,174,92,428,-1.12143452022947,3.86642071921537,-3.18762807101709,0.0068259996756868,0.906423473791415,-4.0903141893351
"48","GB47302",81,33,72,108,76,93,102,193,117,85,97,209,-0.634376217089465,3.66534733819367,-3.07055026287619,0.0085855194174621,0.906423473791415,-4.13719123153928
