"1","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6"
"2","NS.1","NS.2","NS.6","VP.3","VP.5","VP.6","NS.3","NS.4","NS.5","VP.1","VP.2","VP.4"
"3","NS.1","NS.3","NS.4","NS.5","VP.2","VP.3","NS.2","NS.6","VP.1","VP.4","VP.5","VP.6"
"4","NS.1","NS.3","VP.1","VP.2","VP.3","VP.6","NS.2","NS.4","NS.5","NS.6","VP.4","VP.5"
"5","NS.1","NS.2","NS.5","VP.1","VP.2","VP.5","NS.3","NS.4","NS.6","VP.3","VP.4","VP.6"
"6","NS.1","NS.3","NS.4","NS.5","NS.6","VP.5","NS.2","VP.1","VP.2","VP.3","VP.4","VP.6"
"7","NS.1","NS.2","NS.4","NS.5","VP.3","VP.5","NS.3","NS.6","VP.1","VP.2","VP.4","VP.6"
"8","NS.1","NS.3","NS.5","VP.1","VP.2","VP.3","NS.2","NS.4","NS.6","VP.4","VP.5","VP.6"
"9","NS.1","NS.2","NS.3","NS.6","VP.1","VP.4","NS.4","NS.5","VP.2","VP.3","VP.5","VP.6"
"10","NS.1","NS.2","NS.5","VP.3","VP.4","VP.6","NS.3","NS.4","NS.6","VP.1","VP.2","VP.5"
"11","NS.1","NS.4","NS.5","NS.6","VP.3","VP.5","NS.2","NS.3","VP.1","VP.2","VP.4","VP.6"
"12","NS.1","NS.2","NS.3","NS.5","NS.6","VP.5","NS.4","VP.1","VP.2","VP.3","VP.4","VP.6"
"13","NS.1","NS.2","NS.5","VP.1","VP.5","VP.6","NS.3","NS.4","NS.6","VP.2","VP.3","VP.4"
"14","NS.1","NS.3","NS.4","NS.6","VP.4","VP.5","NS.2","NS.5","VP.1","VP.2","VP.3","VP.6"
"15","NS.1","NS.2","NS.4","VP.3","VP.4","VP.5","NS.3","NS.5","NS.6","VP.1","VP.2","VP.6"
"16","NS.1","NS.2","NS.4","VP.1","VP.2","VP.5","NS.3","NS.5","NS.6","VP.3","VP.4","VP.6"
"17","NS.1","NS.2","NS.4","NS.5","VP.3","VP.6","NS.3","NS.6","VP.1","VP.2","VP.4","VP.5"
"18","NS.1","NS.4","VP.2","VP.4","VP.5","VP.6","NS.2","NS.3","NS.5","NS.6","VP.1","VP.3"
"19","NS.1","NS.3","NS.4","VP.2","VP.3","VP.5","NS.2","NS.5","NS.6","VP.1","VP.4","VP.6"
"20","NS.1","NS.3","NS.4","NS.5","VP.4","VP.5","NS.2","NS.6","VP.1","VP.2","VP.3","VP.6"
