"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40031",787,809,865,859,700,429,931,484,688,1008,416,955,-0.590335110471515,6.58109098804283,-3.06378382143651,0.00864255574231157,0.681615499910635,-4.1330064643625
"2","GB40069",93,37,99,77,169,24,61,20,4,20,7,13,1.53373523733123,2.11615386619315,3.3337280578858,0.00508466557899232,0.681615499910635,-4.34859755132111
"3","GB40400",130,171,151,218,155,90,88,104,26,96,27,31,0.859688088713626,3.55795366508541,3.39404213849906,0.00451637558979086,0.681615499910635,-4.18330242291207
"4","GB40521",59,93,129,159,158,38,91,43,23,49,11,35,0.797046049830885,2.94693065616735,3.16542018919888,0.00707852645143153,0.681615499910635,-4.28630832993437
"5","GB40996",33,98,225,149,147,76,75,56,8,24,15,9,1.60187860830487,2.69584806686007,3.37467016029604,0.00469158473535882,0.681615499910635,-4.29462012651805
"6","GB41016",205,202,232,255,191,117,310,135,175,257,88,180,-0.467820663173306,4.63706523440595,-3.08242203998478,0.0083320384115329,0.681615499910635,-4.10083693667568
"7","GB41414",77,80,203,169,161,55,76,54,41,42,18,41,0.84599249160467,3.20013171507006,3.51954617820182,0.00353015500608875,0.681615499910635,-4.20775056174594
"8","GB41464",19,22,38,43,45,7,35,4,3,13,2,2,1.41238522141622,0.718637718296724,3.10717845650777,0.00793665655325886,0.681615499910635,-4.44472174663174
"9","GB41659",825,922,1546,1485,1864,575,958,373,283,746,213,569,0.669648157182493,6.57766306096912,3.82836473006963,0.00193073474886134,0.681615499910635,-3.98483783625734
"10","GB41699",29,38,19,42,34,11,7,12,6,17,4,3,1.26477625271253,0.919189158244685,3.2131259774895,0.00644498111107512,0.681615499910635,-4.42873530665192
"11","GB41704",1285,1203,1986,1991,1645,728,1058,756,510,916,280,809,0.454893397369859,7.00879985104815,3.0950049103172,0.00812869316049572,0.681615499910635,-4.16111901359476
"12","GB41904",111,199,126,111,116,44,62,32,53,53,15,16,1.08438135745237,3.0192371403076,3.3233512222073,0.00518943528822671,0.681615499910635,-4.26051889260544
"13","GB41989",144,135,214,154,153,56,111,65,34,92,11,42,0.805049474900023,3.41325320042216,3.32302260205454,0.00519278832283265,0.681615499910635,-4.21213337717995
"14","GB42147",113,141,268,199,302,60,140,62,25,107,16,39,0.985512191257822,3.57542495623515,3.35230926471066,0.00490233172872663,0.681615499910635,-4.19214670793683
"15","GB42191",96,101,105,148,124,52,159,89,80,114,52,104,-0.509635627414355,3.70471864314652,-3.17893595255172,0.00689298037022005,0.681615499910635,-4.18344493338151
"16","GB42356",1542,1258,1727,1382,1580,816,1459,591,505,897,220,525,0.593480011432976,6.90873114934266,3.04210527781732,0.00901819063610091,0.681615499910635,-4.16619163179706
"17","GB42424",491,423,437,981,442,223,787,536,391,644,387,694,-0.91841351122573,6.07004035807619,-4.313327442961,0.000758827522700948,0.681615499910635,-3.83410617348966
"18","GB42540",1303,1808,1521,1437,2049,1244,1896,1902,2851,3249,1205,2842,-1.14477655667634,7.94522233418316,-4.09910308712691,0.00114340195821643,0.681615499910635,-4.06445357878612
"19","GB42591",16,21,38,19,32,12,17,7,4,3,2,6,1.33377759011198,0.576758690214822,3.69965487728276,0.00248132344475998,0.681615499910635,-4.41257320234677
"20","GB42603",45,78,170,121,106,56,65,43,15,31,20,43,0.837463149852032,2.84169116109802,3.10361869228993,0.00799234031974537,0.681615499910635,-4.30502239619015
"21","GB42762",99,142,427,288,332,142,169,90,43,37,32,38,1.30787529543644,3.85814955623482,3.47782147394216,0.00383128389422556,0.681615499910635,-4.14564346876187
"22","GB42867",63,73,161,45,76,31,44,32,6,15,7,23,1.30383159765632,2.17305315079815,3.27455879923186,0.00571181508873707,0.681615499910635,-4.34766164845175
"23","GB43574",23,38,65,92,65,16,32,20,5,21,7,15,0.970259822597071,1.73224261411489,3.08311062854038,0.0083207809796792,0.681615499910635,-4.39468250449933
"24","GB43742",1038,963,1204,1278,977,599,1406,798,800,1337,537,950,-0.526057350238236,6.99462071482067,-3.57655272930352,0.00315693603334627,0.681615499910635,-4.06052221852642
"25","GB43991",43,83,97,61,55,29,41,16,24,16,12,16,0.989426620941475,2.16804588695924,3.49797732402047,0.00368271389565264,0.681615499910635,-4.32235869065667
"26","GB44072",233,176,311,291,305,92,173,72,64,153,36,96,0.683193620998287,4.20484745884585,3.77732927344093,0.00213242735429106,0.681615499910635,-4.02639590440467
"27","GB44090",162,229,338,406,463,118,244,129,35,141,27,61,0.970216718768176,4.26391070128482,3.32043503154989,0.00521926625654918,0.681615499910635,-4.12002953040954
"28","GB44174",274,424,715,443,557,333,389,204,112,228,82,181,0.678913993324224,5.21732330218112,3.59967311593864,0.00301717283949676,0.681615499910635,-3.97798998411582
"29","GB44209",340,510,411,559,501,301,484,346,534,815,221,481,-0.681746503419707,5.86796324485487,-3.13177301033507,0.00756233189314133,0.681615499910635,-4.07296557675981
"30","GB44276",163,245,353,275,337,228,201,107,85,57,39,83,1.03090016594086,4.30407189848863,3.587189152405,0.0030918434147057,0.681615499910635,-4.06247352291496
"31","GB44398",1066,991,978,981,905,487,1133,711,992,1218,462,935,-0.609318934807148,6.86528800799917,-3.01021464927397,0.00960036308078704,0.681615499910635,-4.16516878730717
"32","GB44523",242,363,506,492,453,252,315,256,96,179,85,127,0.619587429426145,5.01284789273394,3.03836062068341,0.00908469589935354,0.681615499910635,-4.11072494711141
"33","GB44948",26,31,49,34,41,20,19,15,9,18,3,15,0.803682501281804,1.4025345690606,3.35570144839627,0.00486975994190225,0.681615499910635,-4.39086890689878
"34","GB45030",37,32,46,27,26,16,24,7,6,10,1,15,1.15945922449415,1.05781227424212,3.21859533343684,0.00637606136310491,0.681615499910635,-4.42204726387078
"35","GB45056",37,55,130,77,83,24,34,19,8,40,8,17,1.10642368153027,2.1299896475271,4.01540759450016,0.00134357669907161,0.681615499910635,-4.27998354637131
"36","GB45169",2620,2610,3637,3194,3447,1464,2896,1254,721,1865,474,1441,0.571373591009861,7.93136622818535,3.15930337131893,0.00716412662486415,0.681615499910635,-4.2122256118713
"37","GB45636",313,341,359,336,306,164,415,238,237,410,123,269,-0.44161355153873,5.216862776896,-3.10569407579296,0.00795982902205781,0.681615499910635,-4.0692446750462
"38","GB45645",1641,1590,2675,2431,3439,770,1848,508,280,1427,206,563,1.09423225708667,7.14706483494499,3.75777017407686,0.00221529176066401,0.681615499910635,-4.05091330848182
"39","GB45694",58,85,167,169,108,52,64,57,4,57,17,22,1.1947713285464,2.77055437518046,3.09975261142305,0.00805325550102993,0.681615499910635,-4.31680230572132
"40","GB45813",1395,1265,2962,2642,2083,715,1771,742,298,977,258,806,0.737160295778242,7.12560435061339,3.06991973425647,0.00853908244212706,0.681615499910635,-4.17582739090518
"41","GB46068",175,214,325,348,220,218,364,225,167,281,127,301,-0.548475132896023,4.98551332522817,-3.16253925202562,0.00711871527512433,0.681615499910635,-4.06106403499114
"42","GB46223",246,3442,965,611,1986,946,4492,1984,6364,10046,2329,3067,-2.62609918519204,8.05762172409579,-4.37400216202397,0.000676197768490802,0.681615499910635,-4.04762816362024
"43","GB46479",584,698,815,933,743,311,567,293,211,549,99,322,0.515407021969533,5.86138951260354,3.29175392786282,0.00552196992994365,0.681615499910635,-4.04947448967746
"44","GB46720",91,65,159,77,114,46,56,22,27,31,5,30,1.17379015074128,2.59817286725919,3.88317940511299,0.00173564312102892,0.681615499910635,-4.24351799901792
"45","GB46721",19,31,39,24,29,17,27,7,1,8,1,11,1.40015248157938,0.738209183826605,3.32603225568658,0.00516216065475319,0.681615499910635,-4.4292780157435
"46","GB46772",1740,1378,1965,1202,1067,805,2736,784,1523,2399,922,1911,-0.857187432434476,7.57183134620547,-3.29702507030918,0.00546504798902696,0.681615499910635,-4.16052202080822
"47","GB47052",56,73,242,133,149,38,82,33,8,58,16,30,1.06568384218489,2.83789650920337,3.00017128964796,0.00979129751131847,0.681615499910635,-4.32229470821869
