"1","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","NS.1","VR.1","VR.2","VR.3","VR.4","VR.6","NS.2","NS.3","NS.4","NS.5","NS.6","VR.5"
"3","NS.1","NS.3","VR.1","VR.4","VR.5","VR.6","NS.2","NS.4","NS.5","NS.6","VR.2","VR.3"
"4","NS.1","NS.3","NS.6","VR.4","VR.5","VR.6","NS.2","NS.4","NS.5","VR.1","VR.2","VR.3"
"5","NS.1","NS.3","NS.4","NS.6","VR.3","VR.5","NS.2","NS.5","VR.1","VR.2","VR.4","VR.6"
"6","NS.1","NS.3","NS.5","VR.1","VR.2","VR.4","NS.2","NS.4","NS.6","VR.3","VR.5","VR.6"
"7","NS.1","NS.6","VR.1","VR.2","VR.4","VR.5","NS.2","NS.3","NS.4","NS.5","VR.3","VR.6"
"8","NS.1","NS.4","VR.1","VR.3","VR.4","VR.5","NS.2","NS.3","NS.5","NS.6","VR.2","VR.6"
"9","NS.1","NS.2","NS.6","VR.1","VR.2","VR.5","NS.3","NS.4","NS.5","VR.3","VR.4","VR.6"
"10","NS.1","NS.3","NS.4","VR.1","VR.2","VR.5","NS.2","NS.5","NS.6","VR.3","VR.4","VR.6"
"11","NS.1","NS.3","NS.5","NS.6","VR.2","VR.6","NS.2","NS.4","VR.1","VR.3","VR.4","VR.5"
"12","NS.1","NS.2","NS.5","VR.1","VR.2","VR.4","NS.3","NS.4","NS.6","VR.3","VR.5","VR.6"
"13","NS.1","NS.5","VR.1","VR.2","VR.3","VR.6","NS.2","NS.3","NS.4","NS.6","VR.4","VR.5"
"14","NS.1","NS.5","NS.6","VR.3","VR.4","VR.5","NS.2","NS.3","NS.4","VR.1","VR.2","VR.6"
"15","NS.1","NS.3","NS.5","VR.1","VR.2","VR.3","NS.2","NS.4","NS.6","VR.4","VR.5","VR.6"
"16","NS.1","NS.4","NS.6","VR.1","VR.4","VR.6","NS.2","NS.3","NS.5","VR.2","VR.3","VR.5"
"17","NS.1","NS.6","VR.1","VR.2","VR.4","VR.6","NS.2","NS.3","NS.4","NS.5","VR.3","VR.5"
"18","NS.1","NS.4","NS.5","VR.1","VR.3","VR.5","NS.2","NS.3","NS.6","VR.2","VR.4","VR.6"
"19","NS.1","NS.4","NS.5","NS.6","VR.2","VR.6","NS.2","NS.3","VR.1","VR.3","VR.4","VR.5"
"20","NS.1","NS.6","VR.1","VR.4","VR.5","VR.6","NS.2","NS.3","NS.4","NS.5","VR.2","VR.3"
