"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40056",308,317,305,135,240,312,290,286,224,343,115,169,0.38331738679782,4.9861945152587,2.86612313829543,0.0128588919096463,0.773883045996691,-4.05182336213606
"2","GB40319",41,71,51,34,84,32,67,149,123,153,53,101,-0.856926113461265,3.21288856589314,-3.58475550315508,0.00316226574437962,0.773883045996691,-4.13109950758411
"3","GB40361",92,106,132,60,116,86,123,211,182,224,64,122,-0.422222369689241,3.94667377874396,-2.79472903653701,0.0147710258809714,0.773883045996691,-4.18012065871764
"4","GB40466",157,216,156,94,193,138,210,418,332,358,113,187,-0.52159447880568,4.68084310928108,-3.80568634169181,0.00205948733152035,0.773883045996691,-3.83110154730851
"5","GB40720",116,185,104,58,136,71,186,259,285,290,84,118,-0.671159632899894,4.19209982589407,-3.71194049091104,0.00246965062223087,0.773883045996691,-3.93611041846587
"6","GB40750",28,67,27,19,52,15,42,102,93,136,24,49,-0.926293820369486,2.5417413341526,-2.90178446299621,0.0119971067151262,0.773883045996691,-4.31754312259891
"7","GB40838",60,104,26,34,75,30,80,194,173,219,48,83,-1.1322166168472,3.30418635291589,-3.64036566735029,0.0028379865606054,0.773883045996691,-4.11179456016135
"8","GB41097",374,476,297,91,188,84,1699,298,1135,1229,174,443,-1.38545821377592,5.55213508287911,-2.8511264996332,0.0132392315749501,0.773883045996691,-4.07687607367849
"9","GB41251",148,128,193,109,158,244,147,130,101,122,102,82,0.701539175669351,4.13305008492669,2.88954367090151,0.0122863054288345,0.773883045996691,-4.12971287302209
"10","GB41343",38,104,24,22,44,26,58,123,104,174,39,46,-0.949976600970053,2.83198949208536,-3.1427897832702,0.00749626964504135,0.773883045996691,-4.25164328926974
"11","GB41452",283,297,326,157,253,349,302,327,234,281,147,154,0.403484994331933,5.03459149402635,2.79503786307231,0.0147621823185509,0.773883045996691,-4.07169449959267
"12","GB41491",154,178,197,71,159,237,158,183,145,141,63,110,0.495693181908231,4.21362612009801,2.93307442330946,0.0112880010138695,0.773883045996691,-4.1064301705807
"13","GB41657",533,536,552,363,493,884,508,517,336,467,306,246,0.679143477591749,5.90295287834622,3.21322725202875,0.00653195709697084,0.773883045996691,-3.95171837229949
"14","GB41662",129,175,137,57,124,117,174,299,196,273,77,112,-0.379951507082551,4.21816777700431,-2.95610914726532,0.0107925653278942,0.773883045996691,-4.10473335076187
"15","GB41815",110,116,79,52,98,83,91,277,225,249,65,117,-0.64215149866355,3.90751951688946,-2.93988472176869,0.0111392309466023,0.773883045996691,-4.15393560589151
"16","GB42018",170,145,260,108,171,264,159,108,147,115,94,117,0.782195392002319,4.27598530709444,2.97187425432076,0.0104659311990131,0.773883045996691,-4.09074464719567
"17","GB42217",2351,2532,1982,981,2967,1630,2154,1984,2228,962,625,944,0.720895095971575,7.72663838526322,2.89153719491988,0.0122387430839528,0.773883045996691,-4.1912341508911
"18","GB42229",9,20,14,5,28,17,7,6,7,20,5,5,1.04879274744445,0.463258237643111,3.07264750007956,0.00859738131506728,0.773883045996691,-4.43067241842107
"19","GB42295",129,144,139,67,128,112,185,253,198,221,79,115,-0.329450207492545,4.18378179608592,-2.94947802321007,0.010932945184928,0.773883045996691,-4.10987469867856
"20","GB42497",7,9,11,6,19,10,21,34,22,25,10,10,-0.763182366660925,0.868636621480038,-2.97715117281003,0.0103587980044897,0.773883045996691,-4.42135992182817
"21","GB42643",5,1,10,0,24,4,17,24,35,99,19,8,-2.48072370101964,0.417331132203842,-3.53099149019736,0.00351143293081853,0.773883045996691,-4.38759828590919
"22","GB42823",66,90,66,20,46,71,60,42,47,46,29,10,0.859881370377707,2.52188495942602,2.90691671472667,0.0118778580843884,0.773883045996691,-4.31653797868273
"23","GB42972",98,143,161,76,125,168,100,123,110,129,56,82,0.542555832150271,3.85182614689035,3.49901008434937,0.00373736433597664,0.773883045996691,-4.02945218502925
"24","GB43160",109,126,111,75,125,85,172,239,198,239,90,124,-0.543512134421767,4.116744844945,-4.21768169699403,0.000934499827192931,0.773883045996691,-3.84415270571677
"25","GB43301",25,99,37,23,43,24,66,117,122,248,32,68,-1.17311059216603,2.91495397006691,-3.54553467935566,0.00341330594009645,0.773883045996691,-4.18260946367938
"26","GB43453",427,502,144,104,291,276,188,246,181,213,58,50,1.05335087191886,4.58760743674872,3.44114152727779,0.00418413611041656,0.773883045996691,-3.93872916973097
"27","GB43800",4,54,13,2,7,0,47,30,61,42,12,9,-2.16723774809309,0.712457928916496,-2.92895554490454,0.0113789271837828,0.773883045996691,-4.43156532056446
"28","GB43830",64,54,81,27,61,83,47,40,53,41,27,35,0.76850434272612,2.67303622044104,3.30842686922507,0.00542264466177558,0.773883045996691,-4.24212150771863
"29","GB43857",13,42,18,8,29,16,30,72,50,71,13,19,-0.799027979293109,1.7700540266304,-2.77219196860298,0.0154305971617238,0.773883045996691,-4.39198077692617
"30","GB43962",22,33,24,13,32,26,16,20,11,22,17,15,0.768004955180569,1.42183882849026,2.97854562854517,0.0103306690746722,0.773883045996691,-4.38976191541502
"31","GB44051",41,55,50,28,70,59,38,48,44,42,22,39,0.557853634580901,2.51048175352862,2.82589516534631,0.013904231448154,0.773883045996691,-4.32863976885913
"32","GB44553",63,90,42,36,74,50,74,164,130,192,33,85,-0.674549372750404,3.29418318677588,-2.87419222751671,0.0126587138650316,0.773883045996691,-4.24428095447229
"33","GB44628",36,54,24,20,40,32,17,23,31,28,21,16,0.772509846941747,1.84504889718178,3.0417791801097,0.00913154926062742,0.773883045996691,-4.35365175913278
"34","GB44787",54,60,57,18,51,45,38,38,30,40,28,20,0.724570391279669,2.3178571770131,3.54238819672826,0.0034342985365493,0.773883045996691,-4.25020487477438
"35","GB44792",316,503,271,195,380,249,407,709,562,813,236,404,-0.499852889594563,5.65720868663693,-3.15722291731044,0.00728774342460434,0.773883045996691,-3.95898220264712
"36","GB45012",23,40,54,21,32,32,48,68,79,78,27,50,-0.598529289505009,2.48017007693571,-2.90256427888125,0.0119789118619359,0.773883045996691,-4.32141127476734
"37","GB45222",223,256,242,120,190,247,176,284,240,206,84,146,0.387491799883645,4.65511185929642,2.87386428810405,0.0126667892942643,0.773883045996691,-4.07322987874494
"38","GB45263",77,144,108,89,209,102,146,301,251,288,95,172,-0.605605708609188,4.29629964105778,-2.77827129342586,0.0152498921141314,0.773883045996691,-4.14651139878761
"39","GB45273",48,30,44,15,22,39,24,21,25,27,16,11,0.810040812232685,1.72519391940577,3.01287069753787,0.00966160336513156,0.773883045996691,-4.36592567043519
"40","GB45394",661,664,698,315,530,657,653,556,496,668,269,358,0.417491077731262,6.09695621089876,3.00586059272473,0.00979466422598885,0.773883045996691,-4.02188773237066
"41","GB45436",249,373,302,126,276,228,366,519,438,578,161,249,-0.348260777048138,5.27931423136894,-3.09694393933292,0.0081988653412405,0.773883045996691,-3.97393142631938
"42","GB45536",48,77,77,23,66,94,37,51,53,49,13,30,0.899308056331734,2.598286713796,4.20255262065214,0.00096175566050153,0.773883045996691,-4.13866359446396
"43","GB46007",17,20,25,2,14,19,11,13,9,8,3,5,1.03102747374915,0.449049630295943,2.89687734069794,0.0121122272603014,0.773883045996691,-4.44505647599288
"44","GB46034",23,59,30,24,55,35,45,106,85,91,37,58,-0.718520456921489,2.67480452864354,-3.04887985971982,0.00900582884993643,0.773883045996691,-4.28170519531359
"45","GB46086",23,39,23,15,14,14,38,63,50,58,18,18,-0.730571904114702,1.8474557042304,-2.95122395738956,0.0108958100604891,0.773883045996691,-4.36534870452007
"46","GB46228",1286,1464,1062,485,766,1099,1109,619,749,489,534,232,0.923217003917269,6.59907595204949,2.95014777233955,0.010918685208604,0.773883045996691,-4.08470640868046
"47","GB46508",91,111,103,54,74,127,108,75,74,68,45,53,0.612073977061917,3.37013405976033,2.86297818884083,0.0129377522693774,0.773883045996691,-4.23438947103952
"48","GB46568",34,40,47,24,42,65,45,34,22,34,14,25,0.734524067954869,2.14218786454151,2.97993821106025,0.0103026533278896,0.773883045996691,-4.33800417438564
