"1","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","NS.1","NS.2","NS.4","VS.2","VS.3","VS.5","NS.3","NS.5","NS.6","VS.1","VS.4","VS.6"
"3","NS.1","NS.2","NS.5","NS.6","VS.1","VS.2","NS.3","NS.4","VS.3","VS.4","VS.5","VS.6"
"4","NS.1","NS.3","NS.4","VS.1","VS.2","VS.3","NS.2","NS.5","NS.6","VS.4","VS.5","VS.6"
"5","NS.1","NS.2","NS.3","NS.5","VS.2","VS.4","NS.4","NS.6","VS.1","VS.3","VS.5","VS.6"
"6","NS.1","NS.2","NS.4","NS.5","VS.3","VS.4","NS.3","NS.6","VS.1","VS.2","VS.5","VS.6"
"7","NS.1","NS.4","NS.5","NS.6","VS.4","VS.5","NS.2","NS.3","VS.1","VS.2","VS.3","VS.6"
"8","NS.1","NS.3","NS.6","VS.1","VS.3","VS.6","NS.2","NS.4","NS.5","VS.2","VS.4","VS.5"
"9","NS.1","NS.3","NS.6","VS.2","VS.4","VS.6","NS.2","NS.4","NS.5","VS.1","VS.3","VS.5"
"10","NS.1","NS.3","NS.4","NS.5","VS.5","VS.6","NS.2","NS.6","VS.1","VS.2","VS.3","VS.4"
"11","NS.1","NS.4","NS.5","NS.6","VS.1","VS.4","NS.2","NS.3","VS.2","VS.3","VS.5","VS.6"
"12","NS.1","NS.2","NS.4","NS.6","VS.1","VS.5","NS.3","NS.5","VS.2","VS.3","VS.4","VS.6"
"13","NS.1","NS.2","NS.4","VS.2","VS.5","VS.6","NS.3","NS.5","NS.6","VS.1","VS.3","VS.4"
"14","NS.1","NS.3","NS.6","VS.4","VS.5","VS.6","NS.2","NS.4","NS.5","VS.1","VS.2","VS.3"
"15","NS.1","NS.4","VS.1","VS.2","VS.5","VS.6","NS.2","NS.3","NS.5","NS.6","VS.3","VS.4"
"16","NS.1","NS.5","NS.6","VS.1","VS.2","VS.4","NS.2","NS.3","NS.4","VS.3","VS.5","VS.6"
"17","NS.1","NS.4","NS.5","NS.6","VS.1","VS.5","NS.2","NS.3","VS.2","VS.3","VS.4","VS.6"
"18","NS.1","NS.4","NS.5","VS.1","VS.4","VS.5","NS.2","NS.3","NS.6","VS.2","VS.3","VS.6"
"19","NS.1","NS.5","NS.6","VS.3","VS.4","VS.5","NS.2","NS.3","NS.4","VS.1","VS.2","VS.6"
"20","NS.1","NS.3","NS.4","NS.6","VS.1","VS.4","NS.2","NS.5","VS.2","VS.3","VS.5","VS.6"
