"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40303",21,57,75,32,62,35,12,26,40,40,17,18,1.01989308604322,2.26238981658453,3.46208666385313,0.0039217144760648,0.620782187480597,-3.12041276722196
"2","GB40523",21,41,69,30,27,28,19,27,25,37,14,26,0.665843519230192,2.0941288118947,3.40525568073977,0.00438603084230954,0.620782187480597,-3.20319539589745
"3","GB40565",84,137,297,172,89,129,69,91,103,141,63,78,0.847367476477151,4.04320727255624,4.25325227507033,0.00084063525713489,0.620782187480597,-1.82143948321259
"4","GB40608",299,657,491,253,803,185,1036,2883,1515,1729,276,2400,-1.52755207982644,6.74858887074932,-3.52588840994345,0.00345910481166848,0.620782187480597,-2.42642947356165
"5","GB41266",104,239,310,255,219,199,125,293,182,188,65,116,0.669882556760554,4.712678395599,3.28314071450687,0.00557912635767844,0.620782187480597,-2.57586712368081
"6","GB41284",744,196,1064,619,603,530,267,325,263,205,156,198,1.51990260992806,5.74548631225988,3.93047831182379,0.00156745775713839,0.620782187480597,-1.9173015159801
"7","GB41361",667,44,885,457,359,294,68,44,85,19,28,40,3.21005732361753,4.14487266171878,4.03439620282067,0.0012813091595457,0.620782187480597,-2.24799644403612
"8","GB41969",100,157,269,216,137,153,120,182,172,166,43,99,0.577931079287218,4.38103783917672,3.26942063406103,0.00573204219794279,0.620782187480597,-2.63723489998733
"9","GB42048",25,9,37,66,17,37,10,7,1,9,6,5,2.27664950795767,0.913744255195827,3.34887522890036,0.00490126477357014,0.620782187480597,-3.57609393305258
"10","GB42217",347,2058,1029,1007,1992,1013,2944,3907,2813,5719,1379,2054,-1.24049613246057,8.02655013021592,-3.20631852005682,0.0064910733683733,0.620782187480597,-2.8941522378218
"11","GB42246",45,128,215,102,79,91,52,91,113,125,37,32,0.731672185714488,3.59688800386985,3.22610139561036,0.00624289423047156,0.620782187480597,-2.86663061029092
"12","GB42385",957,5240,4856,1319,2061,2157,6872,5280,4731,8145,2516,5030,-1.04835345226746,8.9976467033491,-3.76864152773531,0.00214888965172385,0.620782187480597,-2.58425893936075
"13","GB42409",47,65,455,55,65,58,15,18,41,42,15,57,1.84621010272284,2.8325801541783,3.91847332958446,0.00160447317866652,0.620782187480597,-2.64481413367898
"14","GB42493",128,512,270,150,271,212,656,363,490,2869,328,856,-1.40479516121512,5.88649044697287,-3.32311476819848,0.00515648049609413,0.620782187480597,-2.55243580090043
"15","GB42501",144,282,423,198,201,172,190,269,253,216,82,179,0.397415724203607,4.92647972755693,3.26238696343134,0.0058120532926636,0.620782187480597,-2.57478353408185
"16","GB42520",55,123,161,56,78,85,167,185,201,155,58,143,-0.580885589149168,4.05126689915596,-3.53732734790266,0.0033821762909486,0.620782187480597,-2.45617221437141
"17","GB42692",105,193,435,203,234,196,93,225,222,123,65,108,0.870821492902692,4.60498496093505,3.8714208735682,0.00175835313187972,0.620782187480597,-2.00329406686976
"18","GB42827",6,14,24,20,18,24,6,10,7,10,5,5,1.28134595149838,0.731340014374529,3.65459744018341,0.00268652536158644,0.620782187480597,-3.48052679851206
"19","GB42835",1006,2434,1842,885,829,910,1533,3594,3028,2550,909,3258,-0.739593524138129,7.93945167111536,-3.29255013156584,0.00547662043658108,0.620782187480597,-2.80232003088455
"20","GB42933",65,93,190,152,41,96,48,71,104,99,23,48,0.800375131590703,3.47856684830042,3.24152964438563,0.00605593772523003,0.620782187480597,-2.88985804073818
"21","GB43022",10,17,57,33,7,22,3,7,12,8,6,6,1.70247124517494,0.815731113516996,4.23832970686496,0.000865021282696185,0.620782187480597,-3.24031662673984
"22","GB43112",26285,30444,91595,21282,18835,21610,16224,21286,30185,21251,7532,20203,0.846620691639352,11.7457394629911,3.58531921967028,0.00307779524160121,0.620782187480597,-3.176731359908
"23","GB43320",85,199,213,100,127,105,201,258,241,278,85,225,-0.500825160336717,4.60116713040002,-3.34256519200423,0.00496258424137626,0.620782187480597,-2.53747266319312
"24","GB43353",72,330,302,142,115,105,273,382,329,1072,121,532,-1.0900727683139,5.14286158279275,-3.62099107702468,0.00286961343167519,0.620782187480597,-2.23434282782126
"25","GB43462",51,136,215,135,64,115,90,111,105,104,25,52,0.687410630015358,3.72518400308176,3.66725473518323,0.00262067449574823,0.620782187480597,-2.43633053810674
"26","GB43518",22,25,10,5,1,9,22,55,55,51,10,26,-1.77619792317772,1.32056222763363,-3.70423209363169,0.00243751118472376,0.620782187480597,-3.32367368192058
"27","GB43591",23,41,68,43,20,34,21,19,22,60,7,17,0.913034320081467,2.01713693725989,3.28811162539414,0.0055247364356941,0.620782187480597,-3.30179976280225
"28","GB43832",31,73,145,94,35,75,36,66,61,79,19,33,0.721496760055524,3.02288531356556,3.20108821005787,0.00655831783012736,0.620782187480597,-3.0556872920617
"29","GB44043",15,46,46,43,21,16,12,30,2,1,7,0,2.90326788698731,0.703741418769448,3.94946717534652,0.00151067793624909,0.620782187480597,-3.36276461526393
"30","GB44158",20,70,109,38,30,67,14,28,65,23,12,10,1.37775988398275,2.24764103092951,4.18860340642047,0.000951653145294621,0.620782187480597,-2.71621349352417
"31","GB44321",226,440,713,395,268,346,274,458,429,414,136,215,0.487937001521796,5.62967073770398,3.80150388750258,0.00201525586480366,0.620782187480597,-2.00618490537779
"32","GB44492",181,487,475,248,196,288,499,536,530,992,205,575,-0.652627986436968,5.83952340811951,-3.69260202797782,0.00249367621689714,0.620782187480597,-2.14303769838765
"33","GB44709",264,531,1043,268,151,334,175,280,399,333,128,234,0.693457429234839,5.45219440265054,3.3063534293474,0.0053296487491796,0.620782187480597,-2.51939203395055
"34","GB44723",67,318,332,58,130,100,359,316,299,588,122,444,-1.10147210717337,4.94873350806014,-3.56999108488074,0.00317187926738389,0.620782187480597,-2.3016789816583
"35","GB44745",13,27,52,36,20,34,16,19,13,34,7,4,1.22782108836334,1.52390197100085,3.4296495349287,0.00418031358682484,0.620782187480597,-3.37324908076713
"36","GB44772",74,220,305,117,118,153,216,359,299,275,103,197,-0.44400363407522,4.77468172149401,-3.22136958381699,0.00630137996485,0.620782187480597,-2.64367881188914
"37","GB44773",53,101,157,97,34,72,52,79,86,85,14,29,0.753123270253341,3.19436783722045,3.25478219177157,0.00589981753637361,0.620782187480597,-2.96268941022884
"38","GB44842",515,1252,1666,729,510,679,941,2235,1619,1549,551,1799,-0.568956809302705,7.26775104511208,-3.3534637551993,0.00485715224179077,0.620782187480597,-2.65143309870688
"39","GB44871",791,173,1777,546,1651,517,129,342,415,229,220,254,1.73632070904802,5.96052595009039,3.2675210986252,0.00575354106141022,0.620782187480597,-2.61000900083329
"40","GB44936",11,18,39,35,14,24,8,14,19,18,6,8,1.02540299226242,1.24982016775313,3.49515655974947,0.00367463645973296,0.620782187480597,-3.41270447334308
"41","GB45099",1964,3262,2904,1452,1407,1583,2573,7829,3717,4808,1789,6368,-0.853575922207202,8.71800992059016,-3.24017498376542,0.00607212684379837,0.620782187480597,-2.95379881754571
"42","GB45145",328,640,975,459,329,419,398,601,575,482,196,419,0.353112761066996,6.07738480736076,3.22208117370101,0.00629254981769465,0.620782187480597,-2.64128276310318
"43","GB45378",359,1579,1542,392,451,452,1078,1650,1165,2047,592,2292,-0.950497287924446,7.11639351966068,-3.50807362890699,0.00358244246341716,0.620782187480597,-2.48487717620473
"44","GB45833",46,56,157,58,40,64,38,73,68,51,15,30,0.735846070282296,2.92719324313276,3.41116102911319,0.00433531502813882,0.620782187480597,-2.92607388871
"45","GB45850",50,267,346,88,132,72,225,367,331,489,77,471,-0.979441920811465,4.81416165321144,-3.25636915450039,0.00588139419479356,0.620782187480597,-2.62790674769328
"46","GB46184",140,394,374,133,160,124,322,422,348,624,132,507,-0.721831218312796,5.29910926035144,-3.21793888844127,0.00634412545258878,0.620782187480597,-2.62771739399645
"47","GB46205",8,20,34,14,8,18,10,14,15,12,2,5,0.976575889875968,0.787379428367713,3.61077274658646,0.00292774884673877,0.620782187480597,-3.48203111206595
"48","GB46208",14,33,96,82,12,25,15,17,23,34,5,11,1.25946649725214,1.75326026529116,3.22555247338452,0.00624965109108957,0.620782187480597,-3.41816025196954
"49","GB46762",4,11,22,11,3,5,15,25,24,18,7,21,-0.928605839129946,0.822502897263381,-3.3912588033927,0.00450863150114192,0.620782187480597,-3.57477247249158
