"1","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","VC.1","VC.2","VC.5","VR.2","VR.5","VR.6","VC.3","VC.4","VC.6","VR.1","VR.3","VR.4"
"3","VC.1","VC.2","VC.5","VR.1","VR.5","VR.6","VC.3","VC.4","VC.6","VR.2","VR.3","VR.4"
"4","VC.1","VC.4","VC.5","VR.1","VR.5","VR.6","VC.2","VC.3","VC.6","VR.2","VR.3","VR.4"
"5","VC.1","VC.2","VC.6","VR.2","VR.5","VR.6","VC.3","VC.4","VC.5","VR.1","VR.3","VR.4"
"6","VC.1","VC.2","VC.4","VR.2","VR.3","VR.5","VC.3","VC.5","VC.6","VR.1","VR.4","VR.6"
"7","VC.1","VC.3","VC.5","VC.6","VR.3","VR.5","VC.2","VC.4","VR.1","VR.2","VR.4","VR.6"
"8","VC.1","VC.2","VC.5","VC.6","VR.1","VR.4","VC.3","VC.4","VR.2","VR.3","VR.5","VR.6"
"9","VC.1","VC.6","VR.3","VR.4","VR.5","VR.6","VC.2","VC.3","VC.4","VC.5","VR.1","VR.2"
"10","VC.1","VC.3","VC.4","VC.6","VR.5","VR.6","VC.2","VC.5","VR.1","VR.2","VR.3","VR.4"
"11","VC.1","VC.2","VC.6","VR.3","VR.5","VR.6","VC.3","VC.4","VC.5","VR.1","VR.2","VR.4"
"12","VC.1","VC.2","VC.5","VC.6","VR.3","VR.6","VC.3","VC.4","VR.1","VR.2","VR.4","VR.5"
"13","VC.1","VC.2","VC.3","VC.6","VR.2","VR.3","VC.4","VC.5","VR.1","VR.4","VR.5","VR.6"
"14","VC.1","VC.5","VC.6","VR.1","VR.2","VR.3","VC.2","VC.3","VC.4","VR.4","VR.5","VR.6"
"15","VC.1","VC.2","VC.5","VC.6","VR.2","VR.3","VC.3","VC.4","VR.1","VR.4","VR.5","VR.6"
"16","VC.1","VC.3","VC.5","VC.6","VR.4","VR.6","VC.2","VC.4","VR.1","VR.2","VR.3","VR.5"
"17","VC.1","VC.2","VC.4","VC.5","VR.1","VR.6","VC.3","VC.6","VR.2","VR.3","VR.4","VR.5"
"18","VC.1","VC.4","VC.5","VC.6","VR.4","VR.6","VC.2","VC.3","VR.1","VR.2","VR.3","VR.5"
"19","VC.1","VC.4","VC.5","VR.2","VR.4","VR.5","VC.2","VC.3","VC.6","VR.1","VR.3","VR.6"
"20","VC.1","VC.5","VR.2","VR.3","VR.4","VR.6","VC.2","VC.3","VC.4","VC.6","VR.1","VR.5"
