"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43783",48,199,210,205,214,263,39,22,252,25,13,16,2.89427298774111,3.45598577638809,5.22511014994505,0.00012934369309152,0.211692511026454,0.000610339318169117
"2","GB43784",225,721,1124,884,602,809,220,64,725,75,68,61,3.02698241633525,5.37550021475255,5.3062609949688,0.000111606538203187,0.211692511026454,0.680834262746968
"3","GB50550",1696,2373,7067,6731,2525,4521,1627,222,1381,318,515,361,3.35449118805428,7.70064683883143,5.38239468605516,9.72617197533018e-05,0.211692511026454,0.454899032394397
"4","GB50784",213,404,247,247,354,358,208,253,288,225,335,282,0.771787081555892,5.35538237670841,5.35913111433771,0.000101429125495505,0.211692511026454,0.960074185525244
"5","GB52441",61,269,54,120,72,120,34,31,83,39,51,34,1.78513775959885,3.26298913474647,5.4245973886831,9.01505674711976e-05,0.211692511026454,0.224163217740323
"6","GB53860",554,373,920,634,759,879,232,313,686,314,316,330,1.60769527682419,6.12585335279994,5.46948506934637,8.3178700946189e-05,0.211692511026454,1.01755118631229
"7","GB40106",106,172,247,202,246,170,80,98,226,139,166,103,1.06957505088644,4.49230387339774,4.36326418726698,0.00065192759624686,0.391964034221461,-0.505920306444427
"8","GB43285",265,564,421,1095,389,854,306,275,487,331,287,301,1.35293036860969,5.93523427889284,4.33517519528997,0.000688199951323092,0.391964034221461,-0.473753379847488
"9","GB43779",22,102,133,103,98,126,32,9,128,18,19,15,2.32492766206364,2.75438003387001,4.46860806015309,0.000532505180333334,0.391964034221461,-1.05031373979483
"10","GB45906",3889,4967,1645,924,1888,1290,342,1017,1106,2080,798,734,1.84704755475088,7.6217768799427,4.4618492150764,0.000539444340805598,0.391964034221461,-0.573880633745007
"11","GB46013",781,1541,910,1004,1142,1359,799,975,1517,1195,1239,821,0.657810125951636,7.30736292987429,4.46865074991079,0.000532461644874981,0.391964034221461,-0.497836111770003
"12","GB47498",230,366,409,474,620,587,288,337,576,348,223,181,1.10576127896536,5.7251962874012,4.42670989832129,0.000577050439645806,0.391964034221461,-0.324662185336693
"13","GB48344",119,116,120,140,270,287,52,58,200,98,68,101,1.44451602281982,4.12281559823121,4.60550469337788,0.000410114623184826,0.391964034221461,-0.294333889453919
"14","GB48923",377,692,905,883,943,1222,469,540,855,535,558,560,1.08060006969493,6.62955565522759,4.6186668823974,0.000399989396754353,0.391964034221461,-0.161170564530969
"15","GB50955",1042,1554,4201,2799,1865,1972,1219,611,2049,718,748,553,1.86315164621627,7.61519779623987,4.58086280291519,0.00042978774680137,0.391964034221461,-0.423187670648685
"16","GB51467",784,1548,1341,1522,1863,1192,734,1027,2488,1097,951,810,0.928838396738757,7.45983987042157,4.37507602063239,0.000637266723152338,0.391964034221461,-0.650391511389445
"17","GB52713",41,68,27,43,67,68,34,28,44,58,37,34,0.964838755127948,2.69117544409854,4.73958526536182,0.000318212917667192,0.391964034221461,-0.741472627212563
"18","GB54480",66,146,336,313,306,496,119,62,126,77,88,106,1.92934368228514,4.43977734901655,4.3128761341239,0.000718467679835672,0.391964034221461,-0.628167816976805
"19","GB40006",239,22,753,371,426,690,150,13,31,30,25,10,3.95625768269057,3.70138424510319,3.46463778535092,0.0038021048744273,0.505858904269958,-2.05652550863876
"20","GB40092",100,998,107,89,326,126,774,411,1378,855,1886,613,-1.58252682724564,5.88095270105205,-3.64046091894813,0.00268248819732943,0.505858904269958,-1.55645948811728
