"1","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","VR.1","VR.3","VS.1","VS.4","VS.5","VS.6","VR.2","VR.4","VR.5","VR.6","VS.2","VS.3"
"3","VR.1","VR.3","VS.3","VS.4","VS.5","VS.6","VR.2","VR.4","VR.5","VR.6","VS.1","VS.2"
"4","VR.1","VR.2","VR.6","VS.2","VS.4","VS.6","VR.3","VR.4","VR.5","VS.1","VS.3","VS.5"
"5","VR.1","VR.4","VR.5","VR.6","VS.2","VS.3","VR.2","VR.3","VS.1","VS.4","VS.5","VS.6"
"6","VR.1","VR.2","VR.5","VR.6","VS.1","VS.3","VR.3","VR.4","VS.2","VS.4","VS.5","VS.6"
"7","VR.1","VR.2","VR.3","VR.4","VR.6","VS.5","VR.5","VS.1","VS.2","VS.3","VS.4","VS.6"
"8","VR.1","VR.6","VS.1","VS.2","VS.3","VS.4","VR.2","VR.3","VR.4","VR.5","VS.5","VS.6"
"9","VR.1","VR.2","VS.2","VS.3","VS.4","VS.5","VR.3","VR.4","VR.5","VR.6","VS.1","VS.6"
"10","VR.1","VR.3","VR.6","VS.2","VS.3","VS.4","VR.2","VR.4","VR.5","VS.1","VS.5","VS.6"
"11","VR.1","VR.3","VR.6","VS.2","VS.3","VS.5","VR.2","VR.4","VR.5","VS.1","VS.4","VS.6"
"12","VR.1","VR.2","VR.3","VS.1","VS.2","VS.3","VR.4","VR.5","VR.6","VS.4","VS.5","VS.6"
"13","VR.1","VR.2","VR.3","VR.5","VR.6","VS.2","VR.4","VS.1","VS.3","VS.4","VS.5","VS.6"
"14","VR.1","VR.4","VR.5","VS.1","VS.3","VS.6","VR.2","VR.3","VR.6","VS.2","VS.4","VS.5"
"15","VR.1","VR.2","VR.3","VS.2","VS.5","VS.6","VR.4","VR.5","VR.6","VS.1","VS.3","VS.4"
"16","VR.1","VR.2","VR.5","VS.3","VS.4","VS.5","VR.3","VR.4","VR.6","VS.1","VS.2","VS.6"
"17","VR.1","VR.4","VR.6","VS.2","VS.4","VS.6","VR.2","VR.3","VR.5","VS.1","VS.3","VS.5"
"18","VR.1","VR.2","VR.3","VR.4","VS.2","VS.6","VR.5","VR.6","VS.1","VS.3","VS.4","VS.5"
"19","VR.1","VR.2","VR.4","VS.3","VS.4","VS.5","VR.3","VR.5","VR.6","VS.1","VS.2","VS.6"
"20","VR.1","VR.2","VR.6","VS.1","VS.5","VS.6","VR.3","VR.4","VR.5","VS.2","VS.3","VS.4"
