,NC_NP,NC_NR,NC_NS,NC_VC,NC_VP,NC_VR,NC_VS,NP_NR,NP_NS,NP_VC,NP_VP,NP_VR,NP_VS,NR_NS,NR_VC,NR_VP,NR_VR,NR_VS,NS_VC,NS_VP,NS_VR,NS_VS,VC_VP,VC_VR,VC_VS,VP_VR,VP_VS,VR_VS
NP.1_NP.2_NP.6_NR.2_NS.1_VP.2_VS.1,3,6,811,0,115,313,0,0,1543,1,1,2,3,1395,4,973,315,11,0,6350,5803,0,2068,1207,0,0,5,0
NP.1_NP.2_NR.2_NS.1_VP.2_VS.1,0,7,851,0,125,366,0,0,1424,1,0,0,1,1481,4,1078,344,14,0,6373,5835,0,2284,1399,0,1,209,0
NP.1_NP.2_NP.6_NR.2_NS.1_VS.1,2,0,801,0,100,320,0,0,1538,1,0,1,2,1384,3,662,250,8,0,6301,5785,0,2573,1126,0,1,1787,1
NP.1_NP.2_NR.2_NS.1_VS.1,0,0,843,0,151,346,0,0,1406,1,2,0,2,1475,3,747,281,8,0,6334,5831,0,2713,1363,0,1,1943,2
NP.1_NP.2_NP.6_NS.1_VP.2_VS.1,3,38,675,0,95,272,0,0,1444,1,1,7,3,2910,10,1032,480,40,0,6340,5810,0,1779,934,0,0,0,2
NP.1_NP.2_NP.6_NR.2_VP.2_VS.1,2,7,440,0,117,345,0,0,1239,1,1,1,2,1094,4,1018,318,11,0,6531,6008,0,2192,1355,0,1,5,0
NP.1_NP.2_NS.1_VP.2_VS.1,0,36,784,0,109,300,0,0,1283,1,0,0,2,2950,11,1099,519,40,0,6368,5842,0,2039,1207,0,1,0,2
NP.2_NR.2_NS.1_VP.2_VS.1,0,3,525,0,103,318,0,0,3330,1,4,8,0,1268,2,867,268,7,0,6323,5767,0,1758,1025,0,0,4,0
NP.1_NP.2_NP.6_NS.1_VS.1,3,34,691,0,104,273,0,0,1461,1,0,1,2,2902,7,913,446,29,0,6306,5806,0,2494,835,0,1,1651,0
NP.1_NP.2_NP.6_NR.2_NS.1_VP.2,3,6,879,0,122,372,0,0,1606,1,1,2,8,1491,4,1075,348,51,0,6389,5861,0,2350,1425,0,0,2611,1749
NP.1_NP.2_NR.2_VP.2_VS.1,0,7,473,0,137,384,0,0,1108,1,5,2,1,1182,4,1093,368,15,0,6543,6016,0,2395,1476,0,1,216,0
NP.2_NP.6_NR.2_NS.1_VP.2_VS.1,1,4,538,0,92,289,0,1,3551,1,0,0,2,1233,4,763,240,5,0,6295,5745,0,1670,948,0,0,4,0
NP.1_NP.2_NS.1_VS.1,0,32,766,0,114,298,0,0,1321,1,2,0,2,2954,7,978,477,28,0,6332,5815,0,2589,1151,0,1,1763,0
NP.1_NR.2_NS.1_VP.2_VS.1,0,2,1,0,56,172,0,18,4528,120,4,6,683,669,2,478,151,5,0,6017,5507,0,242,72,0,0,1,0
NP.1_NR.2_NS.1_VS.1,0,0,1,0,42,170,0,17,4538,115,0,0,681,674,2,211,138,1,0,6004,5476,0,1401,67,0,1,115,0
NP.2_NR.2_NS.1_VS.1,0,0,562,0,99,307,0,0,3326,1,0,1,2,1265,2,561,235,1,0,6277,5763,0,2423,968,0,0,1568,0
NP.1_NP.2_NR.2_NS.1_VP.2,0,7,941,0,132,400,0,0,1512,1,0,0,3,1547,4,1167,417,50,0,6394,5881,0,2490,1548,0,1,2718,1841
NP.1_NP.2_NP.6_NR.2_VS.1,2,6,421,0,158,329,0,0,1258,1,0,1,2,1082,3,732,266,8,0,6524,5977,0,2649,1327,0,1,1891,1
NP.1_NP.2_NP.6_NS.1_VP.2,3,39,804,0,107,328,0,0,1497,1,1,2,9,2959,10,1111,513,199,0,6370,5853,0,1998,1197,0,0,2508,1574
NP.2_NP.6_NR.2_NS.1_VS.1,1,0,562,0,68,282,0,1,3548,1,0,2,2,1244,2,485,200,1,0,6252,5732,0,2369,883,0,0,1546,0
NP.1_NR.2_NS.1_VP.2,0,2,1,0,88,201,0,19,4582,131,4,7,1530,753,2,551,176,33,0,6078,5544,0,505,157,0,0,1086,0
NP.1_NP.2_NR.2_VS.1,0,0,500,0,180,369,0,0,1086,1,2,0,1,1162,3,783,302,11,0,6546,6009,0,2770,1438,0,1,1994,2
NP.1_NP.2_NP.6_NR.2_NS.1,2,0,870,0,163,364,0,0,1609,1,0,1,8,1487,3,751,279,27,0,6345,5837,0,2715,1373,0,1,3168,1739
NP.1_NP.2_NP.6_VP.2_VS.1,3,41,362,0,98,280,0,0,1153,1,1,1,3,2937,10,1090,490,42,0,6527,6010,0,1881,1119,0,1,5,2
NP.2_NP.6_NR.2_NS.1_VP.2,1,4,648,0,108,347,0,1,3620,1,0,2,343,1337,4,890,261,37,0,6333,5790,0,1968,1195,0,0,2411,1565
NP.1_NP.2_NS.1_VP.2,0,37,840,0,118,344,0,0,1373,1,30,11,3,3000,11,1146,553,208,0,6396,5879,0,2325,1390,0,0,2591,1669
NP.2_NR.2_NS.1_VP.2,0,4,612,0,116,369,0,0,3378,1,4,8,8,1385,4,966,319,40,0,6361,5804,0,2044,1321,0,0,2449,1580
NP.1_NS.1_VS.1,0,3,1,0,41,140,0,126,4532,103,0,5,682,2387,3,434,222,12,0,6009,5476,0,1340,62,0,0,109,0
NP.2_NS.1_VP.2_VS.1,0,21,421,0,95,272,0,0,3299,0,9,7,0,2852,7,940,463,32,0,6321,5772,0,1617,842,0,0,1,0
NP.1_NP.2_NR.2_NS.1,0,7,1028,0,208,387,0,0,1508,1,2,0,2,1532,3,842,328,28,0,6366,5857,0,2848,1484,0,1,3217,1818
NP.1_NS.1_VP.2_VS.1,0,3,3,0,63,140,0,133,4533,116,4,7,672,2363,3,625,241,29,0,6037,5509,0,95,64,0,0,0,0
NP.2_NS.1_VS.1,0,15,400,0,96,262,0,0,3295,0,0,4,0,2870,5,837,443,23,0,6263,5759,0,2309,793,0,0,1479,0
NP.2_NP.6_NS.1_VP.2_VS.1,1,17,422,0,88,248,0,0,3509,1,0,0,2,2829,6,913,421,21,0,6299,5756,0,1549,764,0,0,0,0
NP.1_NP.6_NR.2_NS.1_VS.1,2,0,0,0,43,161,0,347,4857,1181,0,4,1527,748,2,206,133,1,0,6018,5498,0,1438,67,0,0,153,0
NP.2_NR.2_VP.2_VS.1,0,3,212,0,101,355,0,0,3342,1,5,19,0,926,4,925,307,7,0,6482,5948,0,1937,1221,0,0,4,0
NP.1_NP.2_NP.6_NR.2_VP.2,2,7,498,0,137,407,0,0,1297,1,1,1,8,1166,4,1089,387,55,0,6575,6034,0,2462,1507,0,1,2696,1787
