Pair,Average,NC.1,NC.2,NC.3,NC.4,NC.5,NC.6,NP.1,NP.2,NP.3,NP.4,NP.5,NP.6,NR.1,NR.2,NR.3,NR.4,NR.5,NR.6,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,VC.1,VC.2,VC.3,VC.4,VC.5,VC.6,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VR.1,VR.2,VR.3,VR.4,VR.5,VR.6,VS.1,VS.2,VS.3,VS.4,VS.5,VS.6,,min,max
NCvsVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
NCvsVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
NSvsVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
NSvsVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
VCvsVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
VPvsVS,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
NCvsNP,0.041666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
VPvsVR,0.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2
NPvsVP,0.083333333,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,2
NCvsNS,0.6875,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,1
NRvsVR,0.979166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,33,0,0,0,0,0,0,0,,0,33
NPvsNR,1.020833333,1,1,1,1,1,1,1,1,4,1,1,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,4
VCvsVP,1.479166667,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,4,1,1,0,19,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,,0,19
NCvsVP,1.75,1,1,3,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,15,1,2,1,4,1,3,1,1,5,1,1,1,1,1,1,,1,15
NPvsVC,6.520833333,1,1,1,1,1,1,1,1,1,1,1,255,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,6,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,255
NRvsVP,11.41666667,10,10,10,11,10,10,13,30,10,10,10,13,2,1,9,1,1,13,10,10,10,11,10,10,10,10,10,13,10,11,4,0,39,23,2,28,11,13,10,10,28,15,12,13,10,10,10,11,,0,39
VRvsVS,14.08333333,4,4,43,4,4,4,4,41,4,4,5,5,4,51,40,16,4,4,4,4,4,4,4,4,4,4,4,57,4,4,16,55,46,18,4,27,50,9,8,2,0,2,1,2,77,7,5,1,,0,77
NPvsVR,22.8125,22,22,22,22,22,23,2,14,27,3,5,18,22,24,23,22,22,22,22,22,22,23,23,22,24,22,22,22,22,22,25,31,23,22,23,24,130,0,18,1,54,3,22,22,23,23,23,23,,0,130
VCvsVR,31.29166667,26,36,41,34,37,38,39,55,32,37,24,34,24,41,42,42,34,23,28,6,34,22,23,23,63,6,0,0,0,0,54,41,73,37,38,40,133,34,32,0,3,0,37,33,37,24,7,35,,0,133
NCvsVR,135.3125,151,99,63,45,51,116,151,220,135,139,148,133,127,148,150,138,124,135,142,127,131,128,124,129,136,132,135,152,130,117,176,197,172,128,171,149,404,92,90,62,114,32,151,130,156,148,132,135,,32,404
NSvsVP,148.7708333,134,128,157,141,133,133,137,189,130,140,139,195,115,219,140,174,126,130,442,254,16,25,0,31,154,204,124,186,122,125,312,0,753,8,58,112,132,126,122,133,137,146,125,121,134,120,125,134,,0,753
NRvsVC,423.2708333,416,433,527,494,509,504,437,606,436,467,409,422,322,8,415,626,134,394,411,397,425,416,420,414,431,597,142,56,559,144,547,639,481,419,418,487,455,441,414,408,523,430,582,427,443,392,424,416,,8,639
NCvsNR,484.6666667,529,287,313,130,452,603,505,659,507,534,487,496,357,29,634,661,215,436,512,471,491,479,484,483,485,487,508,599,526,463,577,648,538,494,484,533,532,520,475,486,551,529,574,516,510,498,489,488,,29,661
NSvsVR,998.6666667,1037,1033,1115,1034,1067,1067,1037,1185,1010,1061,1042,1081,999,1125,1115,1057,1006,1020,1144,1176,715,719,572,564,1052,1028,1006,1153,1019,981,1131,1211,1114,1014,1037,1096,1174,847,763,864,634,640,1088,995,1028,1061,998,1021,,564,1211
NPvsVS,1138.4375,1209,1224,1264,1174,1155,1247,837,458,988,479,925,1763,1130,1307,1253,1198,1150,1193,1353,1278,1200,1169,1227,1237,1202,1200,1153,1285,1121,1148,1308,1467,1207,1176,1294,1182,1287,1170,1156,1194,1197,1329,3,541,988,999,1092,1528,,3,1763
NPvsNS,1568.4375,1642,1645,1667,1613,1602,1688,1350,1031,1356,757,1372,2097,1579,1778,1686,1650,1584,1650,1976,1956,1226,1213,942,845,1658,1681,1617,1685,1567,1592,1727,1938,1657,1640,1694,1648,1646,1604,1589,1614,1641,1680,1583,1546,1604,1599,1578,1592,,757,2097
NRvsVS,1636.125,1699,1707,1809,1707,1750,1729,1681,1864,1702,1741,1719,1771,1594,488,1226,1880,1060,1678,1746,1714,1709,1686,1705,1703,1722,1722,1665,1848,1717,1658,1840,1914,1766,1707,1740,1793,1739,1700,1675,1683,1788,1736,569,1012,1569,1417,1594,1892,,488,1914
NRvsNS,2374.5,2450,2437,2542,2427,2485,2475,2424,2586,2436,2456,2423,2463,2272,1421,2110,2505,1915,2497,2606,2662,2051,2018,1830,1796,2443,2448,2404,2532,2425,2381,2539,2655,2484,2423,2434,2501,2437,2423,2407,2407,2457,2439,2478,2381,2426,2365,2383,2417,,1421,2662
