"","Treatment1","Treatment2","NumberDEG"
"8","NP","NR",0
"10","NP","VC",0
"1","NC","NP",1
"4","NC","VC",1
"26","VP","VR",1
"24","VC","VR",4
"19","NS","VC",5
"15","NR","VC",7
"11","NP","VP",10
"25","VC","VS",11
"2","NC","NR",15
"3","NC","NS",18
"12","NP","VR",24
"23","VC","VP",30
"7","NC","VS",35
"5","NC","VP",67
"6","NC","VR",119
"17","NR","VR",270
"16","NR","VP",275
"22","NS","VS",944
"18","NR","VS",1280
"13","NP","VS",2028
"27","VP","VS",2524
"28","VR","VS",2960
"14","NR","NS",3940
"9","NP","NS",4877
"20","NS","VP",6100
"21","NS","VR",6228
