pairs,limma,limma1,limma2,deseq,deseq1,deseq2,edger,edger1,edger2
NC_NP,0,0,0,12,0,12,0,0,0
NC_NR,600,321,279,787,483,304,702,407,295
NC_NS,0,0,0,0,0,0,0,0,0
NC_VC,0,0,0,0,0,0,0,0,0
NC_VP,3,0,3,78,13,65,24,2,22
NC_VR,189,103,86,628,353,275,478,263,215
NC_VS,0,0,0,3,0,3,2,0,2
NP_NR,0,0,0,132,117,15,82,77,5
NP_NS,1743,1088,655,2811,1620,1191,2464,405,2058
NP_VC,0,0,0,572,440,132,396,259,137
NP_VP,0,0,0,87,21,66,13,5,8
NP_VR,26,17,9,747,451,296,434,242,192
NP_VS,1345,898,447,2475,1485,990,2143,922,1219
NR_NS,2551,1314,1237,2761,1300,1461,2444,1068,1372
NR_VC,562,259,303,717,286,431,575,221,354
NR_VP,9,1,8,217,41,176,113,27,85
NR_VR,0,0,0,155,8,147,66,4,62
NR_VS,1824,952,872,2166,1019,1147,1801,913,888
NS_VC,0,0,0,0,0,0,0,0,0
NS_VP,187,89,98,1167,491,676,927,867,58
NS_VR,1204,534,670,1505,715,790,1341,966,371
NS_VS,0,0,0,0,0,0,0,0,0
VC_VP,1,0,1,51,18,33,19,7,12
VC_VR,52,36,16,225,137,88,151,91,60
VC_VS,0,0,0,3,0,3,0,0,0
VP_VR,0,0,0,50,50,0,9,8,1
VP_VS,0,0,0,207,182,25,23,15,8
VR_VS,50,25,25,284,142,142,206,112,94
