"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40227",26,24,66,27,84,43,0,1,5,58,5,3,2.90889250648408,1.14481862205557,4.45606317181239,0.000581522199158034,0.999214023828127,-4.32458970048071
"2","GB40282",26,82,113,43,94,72,66,77,90,134,55,70,-0.583824804472864,3.62297926504531,-2.80238417270745,0.0144356291170868,0.999214023828127,-4.22892509081345
"3","GB40538",80,151,218,101,138,173,92,157,191,192,89,155,-0.39589777967045,4.57181035132511,-2.67992044520342,0.0183115313907435,0.999214023828127,-4.14150990729264
"4","GB40967",436,861,380,557,796,574,382,1171,8721,1652,903,810,-1.44329326284645,7.21569193959105,-3.08926099181273,0.00823650898180252,0.999214023828127,-4.18058830651936
"5","GB40979",10,23,36,21,34,27,3,5,14,24,10,13,0.858297837243844,1.40606206403468,2.83277961749796,0.013605488995997,0.999214023828127,-4.42624382341789
"6","GB41148",145,281,321,165,260,352,83,182,187,188,96,178,0.366412323132345,5.00982435417281,2.86708739516511,0.0127246876929855,0.999214023828127,-4.06907671862078
"7","GB41249",1,4,9,4,12,11,4,6,7,16,14,21,-1.13743277760858,0.414936337704672,-2.69413026457254,0.0178143982910544,0.999214023828127,-4.47692380562575
"8","GB41339",34,80,58,262,180,66,43,352,337,82,241,360,-1.54342271467491,4.45912695933404,-2.76357741987487,0.0155678698870692,0.999214023828127,-4.14824378512161
"9","GB41413",6963,10040,13421,3432,12720,9585,1699,6126,4328,8763,3101,3452,0.724832580111052,9.97933268260515,2.70777746812379,0.0173493266755908,0.999214023828127,-4.41664203397433
"10","GB41699",3,7,17,4,14,9,4,9,10,19,16,16,-0.852473936330646,0.736408762088607,-2.72044193511265,0.0169283374577136,0.999214023828127,-4.46498555433493
"11","GB42242",5,9,16,11,18,16,5,17,19,17,17,24,-0.753208466150364,1.23414484417736,-2.85888687669061,0.0129299886099234,0.999214023828127,-4.43080509294307
"12","GB42300",61,72,137,181,217,103,141,120,288,134,206,285,-1.05167202469538,4.65582172935321,-2.85409657554825,0.0130514163040555,0.999214023828127,-4.09259127305363
"13","GB42317",19,39,69,49,93,66,38,53,67,86,56,111,-0.70403365244553,3.30113470621211,-2.88669425151281,0.0122467280933626,0.999214023828127,-4.25496524018847
"14","GB42427",919,1608,8951,1082,2056,3409,182,187,729,3119,206,270,2.05326045100391,7.3273849184638,3.33832148410433,0.00505057854486666,0.999214023828127,-4.16013019265679
"15","GB42822",90,347,1022,83,154,421,79,55,98,136,44,76,1.29680278107849,4.53346400705903,2.82769647023939,0.0137409815225239,0.999214023828127,-4.14905421490175
"16","GB42919",2726,3739,3746,952,2394,3425,689,1463,1085,2264,772,790,0.881657415224015,8.1619087336495,2.96366348786819,0.0105354786042652,0.999214023828127,-4.28665328623648
"17","GB42931",3584,4386,4149,1000,3333,3257,573,1530,1074,4076,771,839,1.01253677116016,8.32567525737822,2.76372190416829,0.0155634974423295,0.999214023828127,-4.32950331857543
"18","GB43443",57,84,142,75,128,121,54,105,103,132,92,116,-0.371202920041311,4.06094989326691,-2.72995684207354,0.0166186123816851,0.999214023828127,-4.1851823990401
"19","GB43518",18,21,44,28,50,50,0,45,3,25,3,8,1.92214503210428,1.30636165864137,3.10134519395681,0.0080435019037212,0.999214023828127,-4.41155815216568
"20","GB43552",135,195,184,92,230,269,65,86,91,133,88,88,0.615183166956049,4.4323031260772,3.42782236679094,0.00423682238852948,0.999214023828127,-3.97547065142582
"21","GB43802",2,8,12,8,11,3,6,9,8,22,13,10,-1.06329039160221,0.556641470381601,-2.75522549291884,0.0158226697349785,0.999214023828127,-4.46825477427068
"22","GB43922",6,20,18,11,18,16,4,10,6,7,3,10,0.747282293325042,0.745606859786209,2.76336726462057,0.0155742318370783,0.999214023828127,-4.46079637775464
"23","GB44065",81,120,104,69,118,81,38,38,49,57,29,59,0.71352079971277,3.47037103072277,3.25841450995791,0.00590879498357249,0.999214023828127,-4.16995745643931
"24","GB44073",208,137,304,87,495,297,12,88,28,317,56,40,1.53994861467022,4.21886368526282,3.0622374145071,0.00868492726944087,0.999214023828127,-4.145597010383
"25","GB44074",652,373,668,203,817,687,75,209,127,711,191,110,1.17775656912493,5.69744404043433,2.81876316926707,0.0139823140977193,0.999214023828127,-4.11914587722561
"26","GB44131",302,392,672,222,568,646,106,302,223,340,184,280,0.556041471311247,5.74329790761571,3.61067871213109,0.00296108292203671,0.999214023828127,-3.88730608774272
"27","GB44227",9,14,68,18,29,37,5,8,11,22,3,11,1.07302621358539,1.32927206605018,2.69480474510521,0.0177911308458925,0.999214023828127,-4.44323522455945
"28","GB44384",29,95,112,42,85,116,52,29,53,38,14,14,1.04317225391808,2.98496412115555,2.85687256094195,0.0129809130047108,0.999214023828127,-4.30339319592406
"29","GB44630",4,16,24,12,15,16,3,8,5,11,5,4,0.811722269080093,0.625985520642734,2.71774403108884,0.0170171777136415,0.999214023828127,-4.46840947757144
"30","GB44796",33,71,63,51,54,84,14,35,34,49,27,36,0.485688148056835,2.86001547261169,2.65466537116182,0.0192285709563964,0.999214023828127,-4.34521624936525
"31","GB45001",23,57,90,41,90,66,32,76,75,88,48,76,-0.513092880937467,3.35052848990337,-3.12036297175303,0.00774881735140716,0.999214023828127,-4.20447228146695
"32","GB45135",13,25,49,17,55,45,24,39,41,87,36,64,-0.91557125839423,2.66392822022317,-3.85648120784856,0.00183396212995519,0.999214023828127,-4.19882238400992
"33","GB45305",139,243,173,148,224,201,85,216,313,303,118,287,-0.505531657114155,5.03945933992958,-2.7358337020694,0.0164300796834157,0.999214023828127,-4.09830367415902
"34","GB45439",96,137,470,53,235,199,24,66,62,186,30,64,1.04171514523819,4.04075388444664,2.80724313321621,0.0142996681973296,0.999214023828127,-4.19645410104009
"35","GB45503",8,10,20,8,16,18,1,4,7,8,6,4,1.04710568108218,0.444285913223798,3.63094684410399,0.00284603318680829,0.999214023828127,-4.41263222145161
"36","GB45540",114,257,337,200,401,335,180,265,369,261,243,356,-0.481589997666829,5.49837494700697,-2.64882361266299,0.0194469594809278,0.999214023828127,-4.12963878703983
"37","GB45633",11,17,39,10,17,24,1,10,10,19,3,4,1.1631199302109,0.854866516571148,3.0882104833866,0.00825350332656039,0.999214023828127,-4.43154878931483
"38","GB45746",3208,2447,3882,1419,2727,2364,142,586,302,3441,345,215,2.29099377530068,7.49809032179789,3.98434099718611,0.00143169910485218,0.999214023828127,-4.07716138631844
"39","GB45752",84,172,205,156,213,192,238,179,163,271,149,230,-0.627278286995596,4.96338336139318,-2.62930074315355,0.0201944024436803,0.999214023828127,-4.13513828400971
"40","GB45771",1,31,11,2,7,11,10,21,23,14,11,10,-1.3149584926683,0.793199927928978,-2.73410071185543,0.0164854569117689,0.999214023828127,-4.46151969807991
"41","GB45865",71,167,183,94,181,190,79,173,179,195,110,211,-0.471890386992208,4.63361491511468,-3.93827737782426,0.00156506351583262,0.999214023828127,-3.79926605753658
"42","GB45973",270,1012,507,871,992,599,385,819,4948,780,1172,1805,-1.19029793216408,7.22477552249614,-2.6705284229014,0.0186474908121958,0.999214023828127,-4.26607263778302
"43","GB46072",25,38,57,30,44,33,18,51,55,62,24,45,-0.508679653961284,2.71409192716092,-2.67665503547638,0.0184276647269203,0.999214023828127,-4.35242238171846
"44","GB46306",93,193,256,156,208,216,65,203,228,276,142,283,-0.413217368716835,4.94856205141907,-2.77589638147577,0.0151993482438779,0.999214023828127,-4.08829833945945
"45","GB46320",12,23,33,18,25,20,19,25,21,35,20,30,-0.568825869448846,1.98827303554542,-2.64141129105689,0.0197275288682879,0.999214023828127,-4.41049483087823
"46","GB46449",66,131,202,109,137,136,81,173,145,193,125,227,-0.649451389089482,4.55248713596603,-4.2459885529352,0.000866266750695569,0.999214023828127,-3.74622495790575
"47","GB46842",22,40,156,37,39,90,4,21,13,67,12,13,1.30292016409979,2.29283221036624,2.89483306768055,0.012053553632461,0.999214023828127,-4.36470703614606
"48","GB47090",30,13,42,22,47,42,12,16,15,12,9,5,1.09190259358336,1.67441333860275,2.64308899713248,0.0196636829325669,0.999214023828127,-4.43172452533956
"49","GB47231",39,44,69,33,56,33,16,55,60,79,42,66,-0.569424463411607,2.99326873752492,-2.63482126162704,0.0199802673341892,0.999214023828127,-4.33363932507821
"50","GB47803",2247,3274,3908,1220,2776,2973,735,1449,1418,2503,818,883,0.737760668039367,8.22956068501597,3.03287596128167,0.00919962160845158,0.999214023828127,-4.28019038019445
"51","GB47848",64,93,226,63,124,153,29,73,42,138,19,34,0.877546629008094,3.593735691399,2.77867059081559,0.0151175420381676,0.999214023828127,-4.24944493037399
"52","GB47849",580,634,1218,251,865,767,135,316,194,889,153,184,1.04355964946986,6.0973990927934,3.03674048891166,0.00913018776085695,0.999214023828127,-4.08451149904099
