"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41179",9,93,21,24,9,21,71,111,65,33,84,25,-1.88951083917616,2.23664902869308,-4.44358308511083,0.000587232890923314,0.712895233989538,-1.6319794031456
"2","GB41296",11,120,17,16,8,13,75,43,27,37,36,79,-1.71086763257889,1.98691035186984,-3.57676667091228,0.00313762421296704,0.712895233989538,-2.46862497428414
"3","GB41756",6,91,30,24,19,16,107,92,54,63,87,26,-1.97066678913756,2.37526410512079,-4.06318152342415,0.00121591520236998,0.712895233989538,-1.90523788193211
"4","GB42917",60,265,95,91,46,104,192,179,140,72,148,149,-1.07754753515972,3.94470833910855,-4.36087956455248,0.000687059442882407,0.712895233989538,-0.983452224323008
"5","GB43761",10,70,20,26,3,21,54,41,26,18,51,42,-1.44280058756699,1.76863843731922,-3.77061989110325,0.00214655019704697,0.712895233989538,-2.36220857066498
"6","GB43988",4,19,4,14,4,11,26,21,9,11,23,12,-1.46541857125204,0.624754265972263,-3.89719682814035,0.001677300821627,0.712895233989538,-2.63224168972388
"7","GB44123",161,858,253,303,123,236,445,530,352,225,459,289,-1.04028156966537,5.37441903718423,-3.75536088041515,0.00221149520867886,0.712895233989538,-1.55484863682634
"8","GB44295",19,285,56,93,30,39,207,171,102,62,242,92,-1.62849458758336,3.53817258612571,-3.74732887831486,0.00224647899003413,0.712895233989538,-1.8340815384763
"9","GB44596",12,210,35,46,9,34,108,131,97,69,116,49,-1.78536315432375,2.88528218197454,-3.87021399587095,0.00176770000617992,0.712895233989538,-1.9067219795417
"10","GB45035",35,138,41,46,19,24,104,94,50,27,47,60,-1.0376682017696,2.70599187385378,-3.58835669841577,0.0030670605375746,0.712895233989538,-2.23115714778638
"11","GB45040",1283,1594,2120,4037,454,1347,1104,509,370,129,339,731,1.21487474805023,6.74907037430821,3.81239902921597,0.00197847134249543,0.712895233989538,-1.60884262986411
"12","GB45050",11,47,8,16,8,10,37,32,23,12,32,27,-1.42696208641974,1.3462187631359,-4.18763575531334,0.000956789749029565,0.712895233989538,-2.18197107889339
"13","GB45063",16,74,14,69,7,10,55,89,28,23,58,45,-1.5244107661839,2.06498115769775,-3.71405317964326,0.00239750231337966,0.712895233989538,-2.31614906288334
"14","GB45548",0,16,0,25,5,0,20,25,18,18,22,9,-3.2878950679047,-0.11990607794474,-3.73371811672319,0.00230704928950287,0.712895233989538,-2.86506940896399
"15","GB45811",2,16,2,4,6,3,23,25,10,5,25,8,-2.11586903603569,0.116736055511362,-4.35705505256642,0.000692077973274999,0.712895233989538,-2.51023481337518
"16","GB48200",1,37,8,13,6,4,24,22,16,17,26,18,-1.85134965571032,0.745026787352486,-3.57148454876498,0.00317032546272018,0.712895233989538,-2.82885495830371
"17","GB48603",6,89,16,30,1,1,45,46,33,26,70,36,-2.42672217503952,1.39132185487089,-3.57136889364245,0.00317104531514949,0.712895233989538,-2.67222399033892
"18","GB49664",10,32,12,18,4,9,30,25,11,14,22,18,-1.11557076022197,1.04733922465413,-3.62011490875898,0.00288181720669845,0.712895233989538,-2.70005194436595
"19","GB49780",13,30,14,17,6,19,25,55,16,39,39,49,-1.60543301711773,1.63359129416594,-4.10193342721043,0.00112831025485681,0.712895233989538,-2.14356549681783
"20","GB49785",15,490,122,251,34,80,342,320,239,245,423,413,-2.18233506569013,4.53704785503359,-4.08894484209051,0.00115692933705854,0.712895233989538,-1.25138115557003
"21","GB49830",34,103,50,55,23,50,83,86,59,34,66,51,-0.835172056935351,2.8522590081471,-4.00833921678252,0.0013519398131746,0.712895233989538,-1.75165837569613
"22","GB49857",28,923,159,93,72,51,522,558,313,193,672,163,-2.20528968493357,4.70004462686775,-3.6369812426749,0.00278808097256764,0.712895233989538,-1.78869895320595
"23","GB49858",3,196,44,19,7,8,137,97,70,36,194,43,-2.53396495075268,2.37200039019618,-3.77309633889999,0.00213619422228334,0.712895233989538,-2.19764365283205
"24","GB50074",17,422,75,110,13,51,229,221,147,94,220,115,-1.78561490184852,3.71272565505546,-3.70064286922026,0.00246124164799594,0.712895233989538,-1.85844948650031
"25","GB51494",439,643,959,1061,257,342,459,267,149,82,197,224,0.87310012450919,5.46883866177379,3.66078154726931,0.00266103312406119,0.712895233989538,-1.70914723011863
"26","GB51838",30,185,51,66,29,69,133,144,111,74,90,72,-1.23548861808325,3.36175300897478,-4.18868590268186,0.0009548625365798,0.712895233989538,-1.38295823545128
"27","GB51909",0,21,0,16,0,0,27,24,8,15,29,8,-3.80199955110375,-0.493774602414588,-4.53933486615358,0.00049008893383331,0.712895233989538,-2.41564786039933
"28","GB51917",16,55,29,37,13,20,49,58,36,18,41,41,-1.09293431768966,2.0756667213574,-4.88866204966337,0.000255687747873989,0.712895233989538,-1.34191315588628
"29","GB52172",75,188,49,118,84,50,200,212,107,57,209,89,-1.20751970752194,3.81144250888818,-3.6349563918301,0.00279916928224463,0.712895233989538,-1.87922101864224
"30","GB52518",7,60,9,7,21,10,62,34,26,25,62,26,-1.92655497313622,1.59697705780762,-3.68180377698382,0.00255369833553937,0.712895233989538,-2.49912843383314
"31","GB53122",8,124,14,29,20,12,62,121,41,17,78,39,-1.74544599214021,2.16491908690869,-3.60375739524081,0.00297577151641793,0.712895233989538,-2.38860201280862
"32","GB53361",21,222,50,69,31,39,146,148,75,83,118,88,-1.44810925007655,3.32215705089889,-4.01272687792617,0.00134050611033683,0.712895233989538,-1.59475435221618
"33","GB53857",7,69,12,30,7,7,41,65,25,17,68,22,-1.68056720240318,1.6175394712544,-3.66625734907257,0.00263264221561994,0.712895233989538,-2.50175510026535
"34","GB53912",10,26,19,20,9,20,28,36,23,10,21,17,-0.886470409431408,1.34083762792561,-3.94284892842002,0.00153494373481586,0.712895233989538,-2.3577927022782
"35","GB54104",29,102,43,57,16,59,102,83,59,50,53,61,-1.02706453490502,2.8571812504318,-4.29215323608848,0.000783235844443832,0.712895233989538,-1.47490921521997
"36","GB54432",100,279,181,208,32,177,246,293,211,101,252,153,-0.990905624917084,4.45420704356338,-4.06430520147636,0.00121327941567627,0.712895233989538,-1.21494214467005
"37","GB54508",1194,2997,2472,2580,948,1379,1290,1083,644,281,531,724,0.854752977595686,7.19429693210382,4.96247259962101,0.000223276140629827,0.712895233989538,-0.379908694554094
"38","GB54598",39,210,65,82,54,40,129,154,79,50,109,109,-1.06171577468805,3.46119899038274,-3.57520159271449,0.003147277812775,0.712895233989538,-2.03288620828585
"39","GB54827",216,1146,322,501,250,333,810,1001,511,293,685,446,-1.12882630374711,5.98507313014761,-4.195912108521,0.000941708641229443,0.712895233989538,-1.01902979206417
"40","GB54829",31,462,74,97,36,78,254,278,170,95,223,157,-1.62012821408819,4.0454330065007,-4.12592135563523,0.00107734579350459,0.712895233989538,-1.25919891702222
"41","GB54918",7,119,27,52,7,24,87,83,34,76,59,128,-1.87437553572077,2.51020369898816,-3.83306655610002,0.00190033570504138,0.712895233989538,-2.07171745582354
"42","GB55039",26,229,56,182,33,56,284,313,87,140,103,212,-1.70204919442181,3.86997764664949,-4.40777775234161,0.000628478697671401,0.712895233989538,-0.997187805469664
"43","GB55285",94,593,195,205,95,103,368,379,227,146,305,189,-1.11223726271277,4.78962768245591,-3.58818243709469,0.00306810952721945,0.712895233989538,-1.79596056653119
"44","GB52929",8,118,16,42,15,19,74,64,54,20,104,45,-1.6045613655305,2.28642390412742,-3.53989548043346,0.00337320555844586,0.741108593943093,-2.41220861365049
"45","GB45734",3,92,46,14,8,10,83,43,42,27,45,40,-1.86071290762774,1.85640923591518,-3.51608756867254,0.00353473180050228,0.759338940343456,-2.56474716951944
"46","GB40012",30,184,77,226,31,36,185,158,80,76,123,140,-1.20817997365076,3.61964453731433,-3.38733939412242,0.00455335734189058,0.790195119998394,-2.2270059804352
"47","GB40118",39,731,185,124,52,73,439,337,296,101,304,173,-1.5470363146151,4.51405656665662,-3.33737127312361,0.00502404194766756,0.790195119998394,-2.16681958178396
"48","GB41156",40,278,75,66,52,52,220,161,121,65,182,75,-1.27810462900621,3.68401592716212,-3.46632714097707,0.00389797648205196,0.790195119998394,-2.11683273629588
"49","GB43211",26,97,63,39,23,39,71,73,49,44,76,55,-0.958024746968344,2.76656121182462,-3.41956347125748,0.00427356359183553,0.790195119998394,-2.39127396601405
"50","GB44167",12,294,60,82,55,55,174,157,96,159,103,226,-1.65711401942993,3.67410196567303,-3.33500160339983,0.00504753798651118,0.790195119998394,-2.29461773017883
"51","GB44412",40,233,88,86,35,63,174,167,64,52,100,94,-0.914925434227083,3.51815608530918,-3.32482364756305,0.00514971475741169,0.790195119998394,-2.31629975731785
"52","GB44485",106,353,144,241,67,101,240,398,175,77,242,128,-0.874195208211132,4.45305750060754,-3.40823221725377,0.00436992396981074,0.790195119998394,-2.06054088997388
"53","GB44697",13,117,24,48,23,31,68,122,56,29,63,36,-1.26160867779963,2.54084237388965,-3.48456124901013,0.00376069565605022,0.790195119998394,-2.3881037009935
"54","GB45742",4,9,11,6,4,13,17,12,12,9,8,11,-1.11477927454795,0.336568808084189,-3.35132320007281,0.00488791093443121,0.790195119998394,-3.07824245833468
"55","GB45758",664,1760,1844,2306,545,780,798,699,268,193,442,600,0.805861059441676,6.57084591805485,3.33096860547219,0.00508778002022541,0.790195119998394,-2.19760487086455
"56","GB45911",109,1148,219,433,121,302,591,855,347,273,462,317,-1.20172014311954,5.54076246473958,-3.34523582033273,0.00494684551231098,0.790195119998394,-2.11411946080931
"57","GB46886",38,397,89,82,56,51,267,190,130,72,187,116,-1.32807647335909,3.89286805453787,-3.41903159034473,0.00427803852751773,0.790195119998394,-2.13659891455342
