"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40074",231,273,139,268,252,312,204,165,98,178,282,283,0.50724383442791,4.61817310486283,2.44554891962541,0.0293876589822112,0.999346605936725,-4.1719993546763
"2","GB40084",64,52,26,56,78,111,60,122,74,93,161,117,-0.556785924004572,3.14765300804869,-4.16702477667135,0.00109574714822779,0.999346605936725,-3.97561591422385
"3","GB40343",323,234,88,111,331,298,229,487,231,417,401,442,-0.595891236579034,4.95118289923895,-2.66524207458298,0.0193811201302931,0.999346605936725,-4.09166292433715
"4","GB40684",304,330,158,568,458,2000,113,518,468,218,196,189,1.02530385462945,5.26057816657489,2.43650790881609,0.0298915543207074,0.999346605936725,-4.16616167391718
"5","GB40728",198,112,77,180,80,220,58,108,73,84,122,145,0.643378493222499,3.68813002992246,2.44392324914989,0.029477659542669,0.999346605936725,-4.25136821100023
"6","GB40797",98,69,37,44,105,122,80,119,75,98,226,174,-0.541006465040994,3.41960372102528,-2.50259190835318,0.026391665836681,0.999346605936725,-4.26484300132291
"7","GB41182",428,50,127,32,85,206,209,237,118,214,959,723,-1.40582518460858,4.39469681990985,-2.38746832798821,0.03277226999153,0.999346605936725,-4.22695538396406
"8","GB41283",1007,786,705,1610,986,1508,384,1105,586,1038,1346,1049,0.530080584179041,6.76084076507876,2.59341771931408,0.0222200645988129,0.999346605936725,-4.18371046507241
"9","GB41289",284,107,63,18,88,299,162,250,142,195,1220,1134,-1.58818642037203,4.4034840306593,-2.44754623680331,0.029277444363193,0.999346605936725,-4.21718824148799
"10","GB41590",45,49,17,12,41,72,36,86,39,59,108,86,-0.763338032247652,2.42114512885513,-2.57873083956768,0.0228484193436534,0.999346605936725,-4.34238586732052
"11","GB41643",847,9,205,7,8,253,520,262,110,302,1062,774,-2.79028297005642,4.07887077007818,-2.59904899639553,0.0219836121891202,0.999346605936725,-4.23931280759087
"12","GB41728",51,54,27,99,61,97,40,75,31,46,49,44,0.566034591342493,2.59929744439997,2.63354251530512,0.0205876931346554,0.999346605936725,-4.31586452555243
"13","GB41837",115,99,56,95,153,152,74,126,72,82,129,104,0.336273190556484,3.53688119576954,2.69569932466219,0.0182868960861809,0.999346605936725,-4.20163192375057
"14","GB41922",1287,1013,774,1011,1518,1799,621,1372,702,1152,1749,1363,0.330998924406684,7.03007540860073,2.38350109207159,0.0330165829140461,0.999346605936725,-4.25978216425108
"15","GB41970",210,206,99,234,298,377,109,268,167,206,323,198,0.313064919876117,4.59676104802729,2.66732358151509,0.0193043487248258,0.999346605936725,-4.09951898227584
"16","GB42050",21,16,6,38,25,20,7,13,8,12,13,17,0.883167654436511,0.776200160600862,3.11405542320529,0.00818448793934353,0.999346605936725,-4.38772274290532
"17","GB42178",893,1234,508,1668,1499,2493,625,1112,669,1041,1380,1332,0.487274938662933,6.9834755936736,2.9244628359127,0.0117933443831766,0.999346605936725,-4.11236490678426
"18","GB42470",18,26,11,23,32,19,28,62,19,56,61,40,-0.850306037614759,1.7565988706637,-3.42031801836297,0.00453511902117952,0.999346605936725,-4.28112859543114
"19","GB42564",220,248,126,220,312,379,233,424,223,329,420,365,-0.263795705534614,4.99409669231808,-2.75052426140373,0.0164673215289918,0.999346605936725,-4.05648924757053
"20","GB42798",371,1022,191,250,1559,1220,575,2134,1080,2346,863,3250,-1.17605818223304,6.70308317450611,-2.53859552323792,0.0246545950743768,0.999346605936725,-4.20101176952261
"21","GB42891",29,83,19,19,95,89,37,215,72,121,91,180,-1.02105086199178,2.96369228275467,-2.58934579194332,0.0223925764393273,0.999346605936725,-4.29477002052455
"22","GB42899",451,304,195,467,386,1065,154,364,195,374,448,327,0.677802272571035,5.32291993652811,3.58016476825553,0.0033358051607952,0.999346605936725,-3.79903646526975
"23","GB43036",25,23,20,111,62,37,18,17,18,29,18,19,1.14409482617153,1.67291910460168,2.85319379350741,0.013524869878935,0.999346605936725,-4.35834325900034
"24","GB43214",350,482,213,461,416,655,183,449,294,307,350,591,0.433474762753827,5.42030969113362,2.39702931538449,0.0321905580567642,0.999346605936725,-4.17461147371055
"25","GB43641",25,30,9,20,31,40,15,28,16,16,25,19,0.489514861337636,1.3273955039918,2.51540504726564,0.0257603472993527,0.999346605936725,-4.42063296333388
