"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43360",151,116,128,215,329,245,2303,597,713,634,499,981,-1.96153838734954,5.48511270746662,-7.12048943032577,7.273668085986e-06,0.0350881748467965,2.44525409221336
"2","GB53313",10,9,7,11,17,32,67,40,45,32,59,61,-1.7103898239176,1.54798170329082,-7.24859425626567,6.01420277015749e-06,0.0350881748467965,0.303059349914522
"3","GB42493",151,77,99,77,348,485,1179,1015,927,639,560,1401,-2.29881780781334,5.44357719878623,-6.57050245831984,1.68623454645226e-05,0.0542293030139046,1.88033988345195
"4","GB40337",56,53,34,64,78,101,335,228,130,250,117,357,-1.64579915037217,3.73264455051395,-5.88844664184791,5.06477273929449e-05,0.122162318471783,0.904581028096624
"5","GB42798",371,575,191,250,863,1220,2134,1022,1080,2346,1559,3250,-1.6917810824233,6.70308317450611,-5.35093354104101,0.000126112256122397,0.243346209413777,0.556448468496124
"6","GB47885",42,19,33,26,33,82,203,100,181,73,201,129,-1.78319050913603,3.01544708991959,-5.13057808345161,0.000185431673366414,0.298174130773194,-0.191680527405148
"7","GB40773",372,210,166,264,579,1132,781,625,749,568,685,1009,-0.81615450927155,5.88155955820636,-3.41421367965397,0.00453763746791772,0.477838404703031,-1.91355314095552
"8","GB41188",168,227,122,174,447,689,1560,358,479,647,676,812,-1.20905202078503,5.56836554666311,-4.36970325863059,0.000736903157583393,0.477838404703031,-0.538234559527222
"9","GB41339",167,304,156,788,906,170,66,60,44,95,180,71,2.21545860494852,4.17011656075043,4.46266247459295,0.000620233334274848,0.477838404703031,-0.58833032316095
"10","GB41442",93,50,33,76,180,325,304,145,214,170,236,270,-0.885595973561578,4.04158668501383,-3.37528275107018,0.00489234317813623,0.477838404703031,-2.01794000676687
"11","GB41617",238,136,145,325,310,497,566,410,328,328,409,618,-0.588628105115718,5.23544039594416,-3.28431951352443,0.00583379449488898,0.477838404703031,-2.09904724231988
"12","GB41708",2878,552,307,1547,7561,514,370,264,51,208,1474,236,2.28460239141837,6.0253682064513,3.21763032680471,0.0066377578407708,0.477838404703031,-2.22147489646472
"13","GB41754",430,256,273,383,624,850,1016,853,1081,507,746,807,-0.748656889621197,6.08443349375102,-3.28278875231696,0.00585110544458285,0.477838404703031,-2.11486957411941
"14","GB41782",193,140,147,278,263,372,602,389,318,253,576,560,-0.778989296937609,5.13764867613799,-3.94938391417614,0.00162470775625123,0.477838404703031,-1.11339822755015
"15","GB42376",71,52,26,67,106,118,147,87,85,104,120,119,-0.488414159456669,3.28886063518837,-3.94057747303567,0.00165213862329956,0.477838404703031,-1.37447160484198
"16","GB42455",1188,793,458,767,1977,2601,3074,1889,1640,1244,2897,3177,-0.82442225246554,7.47509498998432,-3.61222302642813,0.00309709394119322,0.477838404703031,-1.72785698729129
"17","GB42492",96,94,74,103,200,240,90,125,45,72,105,99,0.724957968822212,3.55923293583273,3.58830260402159,0.00324303689133135,0.477838404703031,-1.77856005472638
