"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40076",102,152,157,201,376,162,932,669,174,175,163,546,-0.964373288408057,4.80068668452961,-2.37514458290471,0.0332304078171652,0.997501307311077,-4.0914093846452
"2","GB40284",1074,1252,1452,1992,1056,1045,805,1389,1363,521,773,791,0.539754981960783,6.90642628440654,2.66409355224577,0.0191831383137034,0.997501307311077,-4.04519903461224
"3","GB40506",32,31,43,61,23,28,74,76,55,37,30,41,-0.480949698678851,2.23317215393457,-2.45058493969124,0.0288213354850678,0.997501307311077,-4.33665230997114
"4","GB40608",2065,1513,763,815,1239,793,950,1022,387,426,735,759,0.796025766645378,6.60565719196452,2.46799123003259,0.0278866766124277,0.997501307311077,-4.09170056983843
"5","GB41015",60,23,29,29,18,30,69,50,81,54,79,47,-1.04381098412651,2.28130383697599,-3.45410181251534,0.00414910069984092,0.997501307311077,-4.15199919388044
"6","GB41129",221,237,222,263,175,164,248,132,150,117,136,229,0.396926616823143,4.3843038763934,2.7706389072289,0.0156280460373763,0.997501307311077,-3.95624859243815
"7","GB41260",25,40,59,69,30,30,83,82,52,43,37,58,-0.484018360327146,2.42615177842274,-2.63449498748836,0.0203032931581347,0.997501307311077,-4.28120003410374
"8","GB41337",28,19,20,40,9,33,11,14,18,9,15,15,0.779382980123208,1.00807841251729,2.36672594752266,0.0337605877999229,0.997501307311077,-4.43390348543819
"9","GB41342",45,70,44,61,37,40,42,35,50,35,30,27,0.461014587920035,2.2444474905013,2.31558524801983,0.0371583347395872,0.997501307311077,-4.3619972601056
"10","GB41540",9,21,81,33,63,70,45,23,4,6,9,15,1.46461173571723,1.2976692701701,2.40865303612597,0.0311978090313711,0.997501307311077,-4.41572124131441
"11","GB41833",65,69,66,99,52,63,38,47,43,33,42,68,0.658105303626957,2.63501772866001,3.58024406726502,0.00324940753970358,0.997501307311077,-4.06501367518
"12","GB42164",9,12,25,10,11,7,33,37,26,9,15,21,-0.886180504268091,0.854842457369085,-2.82634119608887,0.0140349189648366,0.997501307311077,-4.38704505881082
"13","GB42170",233,221,171,175,140,149,166,134,124,136,117,116,0.46333345985122,4.11320650481181,2.57645971521926,0.0226868481580245,0.997501307311077,-4.07026180481426
"14","GB42434",40715,66066,61218,50625,31405,63434,23087,26498,38212,17710,36750,26565,0.909860806470469,12.0292555010326,3.21187541268928,0.00664250893131186,0.997501307311077,-4.31198333157343
"15","GB42477",8,15,23,16,27,10,45,46,18,24,18,24,-0.810279792121432,1.22745939037644,-2.71355108024472,0.0174442975112582,0.997501307311077,-4.37512746933742
"16","GB42563",10,12,16,28,14,13,35,19,19,17,18,24,-0.491189147449885,1.03501979850263,-2.51412054027248,0.0255484184236797,0.997501307311077,-4.41293935397471
"17","GB42593",4,13,13,13,12,8,23,29,13,24,14,16,-0.882032424290982,0.674585371292289,-3.0587718808534,0.00894477086728791,0.997501307311077,-4.37393715097884
"18","GB42764",319,434,425,570,230,279,287,335,253,148,284,251,0.535419144792513,5.08763928714185,3.2248196282835,0.00647742686225402,0.997501307311077,-3.69782819044055
"19","GB42891",19,121,95,89,16,11,91,180,79,109,67,131,-1.27532447224446,2.85619070202741,-2.72090283720169,0.0171993119023698,0.997501307311077,-4.22026717184892
"20","GB43054",273,379,498,1286,396,341,952,971,711,432,449,677,-0.524778395806217,5.95733725765432,-2.32419735236238,0.0365642747606024,0.997501307311077,-4.10269416732349
"21","GB43281",85,147,109,117,86,81,184,154,100,105,105,196,-0.397720974959102,3.7322977672276,-2.4309944810796,0.0299092006434853,0.997501307311077,-4.17408048389997
"22","GB43298",9,18,31,19,62,18,53,52,31,33,27,83,-0.970352167932583,1.81494665420791,-2.57787743194211,0.0226255164741734,0.997501307311077,-4.35112705122007
"23","GB43454",29,36,43,54,32,27,57,72,55,32,36,44,-0.375371710246415,2.23458144336254,-2.2989387088763,0.0383326434165038,0.997501307311077,-4.36598560508322
"24","GB43569",40,34,46,75,47,39,76,81,50,57,48,61,-0.393729142444919,2.58097773329131,-2.45206553866434,0.0287406772317793,0.997501307311077,-4.30381112763385
"25","GB43772",9,33,27,20,49,30,68,41,48,36,28,41,-0.756689329551384,1.8919728579432,-2.35517300211806,0.0345012848772598,0.997501307311077,-4.38202444868793
"26","GB43960",8,24,19,45,20,24,53,54,22,30,27,34,-0.687290617972618,1.62580590527323,-2.41279306152551,0.0309550808637976,0.997501307311077,-4.39082454592076
"27","GB43977",5,6,23,15,10,6,43,23,11,9,14,17,-0.820584655014479,0.561467751967314,-2.32712332381732,0.0363645016735978,0.997501307311077,-4.45978244009123
"28","GB44002",81,99,213,88,61,143,175,193,177,184,149,267,-0.819947102009927,3.98803762696889,-3.07239986336563,0.00871107511257314,0.997501307311077,-3.92519303773638
"29","GB44017",7,10,11,7,16,12,34,39,13,11,17,21,-1.00916725816423,0.740343905729526,-3.0454611185232,0.00917903863557019,0.997501307311077,-4.3709054982929
"30","GB44158",36,33,67,66,64,54,108,156,73,70,54,65,-0.663880059384839,2.88164483498018,-2.76346977263754,0.0158455498618549,0.997501307311077,-4.19866454935974
"31","GB44327",217,232,235,289,189,195,280,235,173,148,151,214,0.217021206125586,4.56104272326088,2.33782503664961,0.0356426252856851,0.997501307311077,-4.11174104960555
"32","GB44460",31,76,95,121,41,29,61,35,26,27,27,43,0.755944612424067,2.3366958446328,2.7089410300357,0.0175996543281422,0.997501307311077,-4.27679317357112
"33","GB44738",5,4,1,12,21,18,27,27,15,16,9,21,-1.30949902720358,0.412442425882698,-2.39211780179953,0.0321855233057809,0.997501307311077,-4.45886639348333
"34","GB44960",655,798,517,1033,578,613,600,558,691,426,477,566,0.337010309212125,6.10450457319687,2.3347733711408,0.0358470737665549,0.997501307311077,-4.10476638917531
"35","GB45090",5,6,11,16,3,9,11,18,20,11,10,22,-0.890345138980421,0.291776933659171,-2.70368002057847,0.0177785980794613,0.997501307311077,-4.4319803585606
"36","GB45228",176,206,295,304,175,161,356,253,301,209,219,267,-0.277184788950361,4.73944660436575,-2.60484310025304,0.021489067631335,0.997501307311077,-3.98321562631239
"37","GB45422",33,29,37,29,16,30,24,10,12,5,23,29,0.914293952723052,1.23356549730747,2.636032922972,0.0202435561243212,0.997501307311077,-4.38551994292691
"38","GB45809",23,33,19,28,19,21,69,45,45,33,39,21,-0.735163163006574,1.80010132082751,-2.87701795440596,0.0127247906131275,0.997501307311077,-4.30276182522632
"39","GB45860",19,15,18,19,23,18,31,31,31,26,22,24,-0.533962705582053,1.37372775427502,-2.63604877319154,0.0202429413542522,0.997501307311077,-4.37440075873257
"40","GB46047",179,196,117,304,131,103,109,83,162,110,110,95,0.618882479494768,3.90344846740832,2.53802919304929,0.0244119837463609,0.997501307311077,-4.11554338910145
"41","GB46198",9,8,9,12,4,14,21,15,15,11,14,15,-0.71742675680043,0.428782520522911,-2.85616440360809,0.0132486618546668,0.997501307311077,-4.40982518472229
"42","GB46211",700,739,524,657,560,478,541,544,384,482,323,587,0.399712972176393,5.90317087385093,2.42901680708419,0.0300211816972433,0.997501307311077,-4.05203871981411
