"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42787",778,844,847,1175,699,612,635,797,432,444,416,611,0.658728025212194,6.22028011568844,5.76308989537067,5.98299602165736e-05,0.294871958927383,-2.78847576029735
"2","GB49219",371,128,297,162,267,155,8,78,63,28,6,10,3.45379902059336,2.91369829616725,5.97810899301981,4.17315687885703e-05,0.294871958927383,-3.6666393617076
"3","GB40164",2765,2701,2002,3112,2194,1932,1594,2024,1829,1170,1536,2538,0.546557442639504,7.84897757305017,2.73071932144948,0.0168577667422818,0.996276768821515,-4.03224469019641
"4","GB40411",33,57,64,98,46,47,108,128,59,78,48,99,-0.51717505698361,2.92224483725291,-2.62361535973509,0.0207090606109349,0.996276768821515,-4.17434269083639
"5","GB40453",138,154,151,182,146,142,183,176,95,111,114,134,0.270844463214008,3.99848132117815,2.76615588398168,0.0157447218631638,0.996276768821515,-3.94285900367577
"6","GB40770",22261,22958,17403,17937,24194,19208,14169,20308,10737,11816,17759,15511,0.556011012851107,10.9345903508912,2.7247171666559,0.0170537592241851,0.996276768821515,-4.2712034790169
"7","GB40976",2397,5050,6252,3435,3520,4320,8003,6990,4588,8929,9502,5536,-0.765443693764938,9.21992699319118,-2.93218002506682,0.0114194535656214,0.996276768821515,-4.09784469970467
"8","GB41407",18,43,28,20,26,24,97,38,27,36,66,120,-1.0292171026129,2.10157130268873,-2.8041990989539,0.0146298705260072,0.996276768821515,-4.23885985852837
"9","GB41643",7,302,8,774,141,241,1062,253,322,1148,320,1060,-2.59262123556716,4.66876719841476,-2.62114211446805,0.0208074082143319,0.996276768821515,-4.02447919500754
"10","GB41651",957,1529,1620,1641,1244,1349,3286,2278,1240,1748,1380,2234,-0.405697776905443,7.51383277224688,-2.77891512544981,0.0153618384054076,0.996276768821515,-3.98148720943515
"11","GB41776",53,217,404,348,117,142,512,336,309,422,192,769,-1.04556646731159,4.8692970080913,-2.6093803357185,0.0212813458603008,0.996276768821515,-3.92144891550869
"12","GB41916",158,144,150,187,185,122,138,165,113,82,116,139,0.428451480287794,3.96875548133571,3.20197809580518,0.00675973263819643,0.996276768821515,-3.7801059517059
"13","GB42488",314,253,230,231,213,196,192,225,150,166,171,237,0.416685826007145,4.57459879635471,2.65216172640487,0.0196060968372597,0.996276768821515,-3.90506192235882
"14","GB42596",24,97,22,297,61,214,692,151,147,504,169,381,-1.80817198920995,4.0567256306425,-2.83901603728921,0.013677659752422,0.996276768821515,-3.96336814985701
"15","GB42618",14,11,13,16,18,7,7,11,9,11,6,6,0.723814812257989,0.25999196217815,2.63220687199091,0.0203709163229137,0.996276768821515,-4.41255998012052
"16","GB42635",14,20,18,20,9,25,51,33,37,25,18,32,-0.796305814027236,1.40070497574325,-2.93284285670523,0.011404784090177,0.996276768821515,-4.28789905842782
"17","GB42762",99,142,169,332,125,138,427,288,191,288,147,236,-0.596679406445886,4.46959147703699,-2.62196180792012,0.0207747633239859,0.996276768821515,-3.94046515989452
"18","GB42963",546,574,545,591,623,418,460,703,320,347,387,441,0.427734436625207,5.76899911928954,3.72729851328688,0.00243997643606722,0.996276768821515,-3.36234571541185
"19","GB43543",119,139,242,274,168,183,618,366,191,248,190,243,-0.569155200889763,4.66780607756944,-2.76951298491295,0.0156430843677226,0.996276768821515,-3.84631586801347
"20","GB43904",276,249,356,330,258,161,314,288,157,172,164,260,0.353692511746901,4.7563090337391,2.67530434792985,0.018754036467222,0.996276768821515,-3.87411894458382
"21","GB43909",177,200,360,419,491,296,687,646,394,335,393,447,-0.540234713330446,5.40834184609517,-2.65294651602899,0.0195765954081096,0.996276768821515,-3.8602977361286
"22","GB43913",65,109,118,94,97,72,92,78,69,60,36,83,0.519709498691384,3.14197367196068,3.0957528566746,0.00831127078287033,0.996276768821515,-4.00216486777836
"23","GB44228",54,41,59,55,68,42,33,64,22,38,18,56,0.637556097632157,2.28544853088128,2.67957836923457,0.0186006689044425,0.996276768821515,-4.24012244714624
"24","GB44397",206,191,218,207,186,144,209,161,147,133,139,174,0.352736690032822,4.29668291741247,2.90731071458725,0.0119835183433495,0.996276768821515,-3.82967237942356
"25","GB44506",95,138,83,194,76,138,306,163,129,246,154,252,-0.721635662871325,4.09135750115245,-2.72933618155658,0.0169027353257164,0.996276768821515,-3.95389897655465
"26","GB44631",18,22,23,25,18,27,44,47,27,28,22,39,-0.529057702176767,1.6328766584167,-3.04986248252731,0.00908682694169544,0.996276768821515,-4.24265053657983
"27","GB44942",46,63,40,45,33,33,39,24,28,36,21,29,0.642167476562931,1.9981410871688,2.79307583783025,0.0149475755302907,0.996276768821515,-4.24854447604726
"28","GB44978",54,65,66,67,61,58,57,50,43,57,37,58,0.404455047251273,2.65481805242526,2.61712262330987,0.0209682092076067,0.996276768821515,-4.2099418581223
"29","GB45654",2351,2241,2272,2056,2011,1515,2270,3051,1084,994,1006,1937,0.494769436517151,7.658754433135,2.76445938892866,0.015796329512793,0.996276768821515,-4.00151506535985
"30","GB45778",26,13,24,25,51,34,12,16,24,21,8,7,1.07634868990186,1.12570500219413,2.64343023994267,0.0199372559533614,0.996276768821515,-4.35733338346662
"31","GB45851",172,434,335,395,332,227,680,496,291,502,364,552,-0.541979893447119,5.39868777968983,-2.99713668729987,0.0100669646735596,0.996276768821515,-3.688713529604
"32","GB45961",125,151,109,157,128,89,103,129,90,71,73,122,0.462075339500358,3.62536577079185,3.05710008429508,0.0089598967683509,0.996276768821515,-3.91176885292272
"33","GB45987",98,93,51,84,72,49,40,51,35,32,40,54,0.878092802928242,2.63266710815933,3.85178891055157,0.00192023841775308,0.996276768821515,-3.9315429353733
"34","GB46522",23,30,33,37,38,27,82,55,35,31,39,43,-0.468117667347044,2.09023193723213,-2.76686011527434,0.0157233475484033,0.996276768821515,-4.24375107921608
"35","GB46652",882,1024,1398,1139,1293,797,1042,1219,802,664,816,934,0.322474511389922,6.78583947489289,2.79036784685011,0.01502594005886,0.996276768821515,-3.89324727184872
"36","GB46697",833,1140,1197,1104,846,1287,2069,2074,1015,1579,1354,2058,-0.550477606443181,7.21057307721206,-3.42522511595184,0.00437919447318027,0.996276768821515,-3.70378732802932
"37","GB46747",10,28,22,9,8,26,59,46,42,20,24,54,-1.25013854245505,1.46534154844498,-3.52863837997375,0.0035828992786914,0.996276768821515,-4.19356283941087
"38","GB46792",70,125,109,195,170,127,310,205,136,220,175,176,-0.554491252990525,4.15687410882016,-2.70743878841264,0.0176304661425046,0.996276768821515,-3.94782421042777
"39","GB47107",53,88,101,93,85,68,147,162,93,90,89,97,-0.377694937586301,3.40365454635822,-3.01575827455028,0.00970937350800753,0.996276768821515,-3.97467538404588
"40","GB47212",25,20,25,21,24,17,16,23,13,13,14,17,0.542287522041571,1.09904965387537,3.00573590476171,0.00990023980697336,0.996276768821515,-4.30358376489821
"41","GB47358",37,41,43,40,26,30,22,27,16,28,12,38,0.745682176306117,1.69386355344124,3.14911757042915,0.00749189227401493,0.996276768821515,-4.218842709071
"42","GB47379",99,200,117,620,134,269,1416,193,366,882,280,1002,-1.41222178636896,5.18933956287621,-2.64850755132373,0.0197440329666703,0.996276768821515,-3.89810300658138
"43","GB47387",63,68,87,86,52,55,68,73,30,60,30,38,0.589600886799149,2.67049666073797,3.15782614770365,0.00736604170477917,0.996276768821515,-4.07378973466255
"44","GB47451",144,237,254,197,128,158,454,406,204,168,222,415,-0.605221543500285,4.69016610349623,-3.23607192975575,0.00632589311651687,0.996276768821515,-3.63130469822084
"45","GB47909",13,11,0,14,0,1,12,16,20,16,10,28,-2.31930410773644,-0.311940801761005,-2.79904675127389,0.0147762009543823,0.996276768821515,-4.39382425316707
