"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40006",663,212,64,204,377,334,50,462,21,191,209,43,1.91869067466638,4.58836938721344,2.90692154285807,0.0116703285447436,0.85545700267652,-4.12487603882278
"2","GB40695",574,1351,2040,2405,6392,436,774,321,1248,946,198,101,2.27379134708032,6.93757922891447,2.97476403032784,0.0102143877183991,0.85545700267652,-4.14806240258557
"3","GB40746",867,779,445,761,1238,1199,751,605,704,958,868,1071,0.485722216095002,6.98993740594203,3.04344488106725,0.0089233250182564,0.85545700267652,-4.12662840172764
"4","GB40830",8,16,8,45,25,48,87,26,59,90,53,80,-1.14697619274438,2.44122307001128,-3.61692940769278,0.00288170089421263,0.85545700267652,-4.25917098525297
"5","GB40963",9,10,7,16,14,10,28,15,24,22,28,28,-0.703178767657018,1.33752520791984,-2.97363196427763,0.0102371456347792,0.85545700267652,-4.41287919813179
"6","GB41202",31,59,24,84,38,34,118,51,77,112,76,141,-0.76767514751092,3.24826987961601,-2.90123162636467,0.0118013431350737,0.85545700267652,-4.26520594139831
"7","GB41326",49,55,79,132,166,57,55,50,23,84,22,86,1.15496941146163,3.24958287523541,3.0532145882595,0.00875330566145792,0.85545700267652,-4.23558605880345
"8","GB41469",737,446,276,596,579,735,566,417,426,622,520,603,0.482430268136471,6.34514016021464,3.18450760422411,0.00675743325385514,0.85545700267652,-4.03194598006041
"9","GB41626",45,57,22,58,64,64,53,32,27,47,50,47,0.660971088018257,2.81084328024059,3.48461807525804,0.00373871528705506,0.85545700267652,-4.22133333901817
"10","GB41830",34,15,11,14,38,22,14,20,8,12,14,8,1.18819141334768,1.31202036292828,3.21090561898284,0.0064145600447813,0.85545700267652,-4.39179003885794
"11","GB41864",101,25,39,60,92,91,54,41,44,69,49,55,0.697101131983138,3.11818353518906,2.89894621963791,0.0118543727042052,0.85545700267652,-4.27491290932263
"12","GB41965",17,29,4,14,65,17,7,8,2,6,13,8,1.86641257503172,0.809221233939727,3.70176101983468,0.00243960621392556,0.85545700267652,-4.38834621307254
"13","GB42164",3,1,4,9,11,7,15,9,13,26,15,21,-1.18698504737193,0.496255038966065,-3.43489985197106,0.00412357370948353,0.85545700267652,-4.41816798212357
"14","GB42264",457,1378,790,1221,611,673,520,617,381,543,338,897,1.11588892080573,6.63473871219434,2.92558810182945,0.0112504887823675,0.85545700267652,-4.12487778441299
"15","GB42410",2432,1084,2467,1026,1405,2338,80,1004,354,1487,715,129,2.54857547761279,6.97598183623268,3.18848704166594,0.00670459980445027,0.85545700267652,-4.10677111972651
"16","GB42507",62,30,14,26,34,26,10,31,10,18,12,12,1.46645309644931,1.68558280250912,3.64266506863095,0.00273961995110022,0.85545700267652,-4.32678377179082
"17","GB42637",137,96,93,107,145,218,37,150,15,139,135,57,1.3545368924661,3.83871976516271,2.91054133982981,0.0115877259845802,0.85545700267652,-4.19157480684728
"18","GB42804",169,129,115,572,343,542,1128,303,599,1112,745,1325,-1.14620649482949,6.1032379912286,-4.05352046133018,0.00122872631293937,0.85545700267652,-3.84009769212612
"19","GB42832",80,49,45,122,119,123,108,51,43,94,91,100,0.54371459136322,3.62691453822816,3.35999989406826,0.00477990398340709,0.85545700267652,-4.11965586972459
"20","GB42908",64,41,121,38,227,137,22,37,18,25,37,18,2.18097355719077,2.85006199647802,4.18235646748847,0.000958098270578137,0.85545700267652,-4.14409015002981
"21","GB43029",37,39,36,61,77,172,213,197,115,191,273,130,-1.11595798812782,3.99505119481974,-3.41400139406769,0.00429701778266709,0.85545700267652,-4.07988017993605
"22","GB43369",20,41,34,104,73,62,181,55,98,321,107,194,-1.09185292729705,3.6636470277204,-3.26830914244934,0.00572771556280082,0.85545700267652,-4.15090688371561
"23","GB43784",936,114,508,331,1251,1484,119,318,58,658,427,95,1.96046626679028,5.69284893670729,2.94336690749721,0.0108644630581633,0.85545700267652,-4.08004786631554
