"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",118,38,76,215,46,344,97,52,22,50,114,31,1.35511294542374,3.72769953875445,2.71570840506347,0.0168859426210518,0.99067342375004,-4.27939471173357
"2","GB40028",67,44,57,61,41,96,144,65,123,71,105,89,-0.467975474230399,3.76182016158839,-2.95575049873224,0.0105450716105047,0.99067342375004,-4.22796190347494
"3","GB40074",81,147,240,296,108,129,132,43,133,126,132,71,0.805890666242093,4.4593276085508,2.46444683657921,0.0274658478596861,0.99067342375004,-4.25551075855947
"4","GB40109",699,738,572,819,694,635,1165,323,735,335,676,334,0.609193436293376,6.75892912083052,2.59939996931805,0.021171870145832,0.99067342375004,-4.23191386680254
"5","GB40166",96,33,58,70,57,66,166,41,109,62,162,130,-0.571575548381238,3.81239295842441,-2.53771957597464,0.0238539799703803,0.99067342375004,-4.30574843021253
"6","GB40734",53,56,86,92,43,115,83,30,52,48,104,49,0.528099094934786,3.50832946533808,2.43573308746627,0.0290194941719385,0.99067342375004,-4.35109491717538
"7","GB40754",19,20,15,18,16,19,11,6,8,7,21,5,1.18292833030949,1.21272844915711,3.75216718764071,0.00218832943980024,0.99067342375004,-4.38637014416082
"8","GB40975",45,32,165,54,62,77,25,26,51,41,43,46,0.999103138220129,3.13893505037845,2.60103441326461,0.021104914289594,0.99067342375004,-4.35731657878763
"9","GB41042",299,159,201,348,178,287,277,112,246,145,267,205,0.444622418535353,5.28414981294116,2.97225709111184,0.0102076449224578,0.99067342375004,-4.06040201085103
"10","GB41188",140,231,168,245,120,321,872,142,453,204,697,267,-0.689735100137723,5.56779352682769,-2.87522204830608,0.0123553512986106,0.99067342375004,-4.09802916559908
"11","GB41447",72,49,55,49,63,119,148,44,158,63,173,121,-0.54997247871919,3.89879666532601,-2.99664206806562,0.00972857740586594,0.99067342375004,-4.2019300301027
"12","GB41521",332,338,293,498,290,288,373,130,397,231,276,179,0.646071709448629,5.68896050317857,3.10958747079269,0.00778420839739806,0.99067342375004,-4.02787788657606
"13","GB41742",15,9,7,5,9,18,26,14,34,8,35,18,-0.84774324203861,1.37326715148116,-2.57967368207728,0.0219963228533339,0.99067342375004,-4.46743357087505
"14","GB41833",39,10,19,19,12,53,48,21,65,21,65,70,-0.772601293027166,2.46861292997445,-2.48631368239015,0.026336392325936,0.99067342375004,-4.42289803605561
"15","GB41876",9,3,6,8,9,29,56,4,35,17,31,24,-1.17719278722476,1.34559742444937,-3.02773962160365,0.00914974360148987,0.99067342375004,-4.4328211733936
"16","GB42249",268,233,574,369,315,410,231,152,327,283,346,229,0.649564232546469,5.7346522209707,2.69999922006672,0.0174113092140894,0.99067342375004,-4.14479725529868
