"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40069",12,7,30,27,28,32,18,30,37,43,58,41,-0.792496837150685,2.04262632369304,-2.56997729117728,0.022603429267923,0.999771520304591,-4.38182073081651
"2","GB40083",349,181,378,253,230,273,251,528,1100,322,314,487,-0.719776002187338,5.70554088338954,-2.28068545026769,0.0392014889815843,0.999771520304591,-4.17598712657679
"3","GB40150",702,272,636,747,400,487,411,780,630,778,779,1063,-0.472582911751612,6.51469217428801,-3.17527549704047,0.00693726610921273,0.999771520304591,-3.90431403489298
"4","GB40439",109,98,146,158,95,121,60,118,94,97,77,92,0.439591828666272,3.96024319711505,2.30604406695124,0.0373759558656601,0.999771520304591,-4.26649192959569
"5","GB40531",59,33,68,54,62,77,34,81,62,133,102,139,-0.57320130690511,3.39103528919323,-2.9523673725053,0.0107457532354051,0.999771520304591,-4.17557349218359
"6","GB40608",1407,448,728,1239,793,735,377,1099,285,387,426,759,0.750333169241379,6.60555070572717,2.82329822631506,0.0138303441185272,0.999771520304591,-4.03328254842654
"7","GB40614",47,46,67,102,58,54,23,62,32,42,60,23,0.687445406344284,2.85545835958329,2.25712366044683,0.0409727921456793,0.999771520304591,-4.37742951359656
"8","GB40728",69,37,83,58,90,77,45,115,88,84,98,162,-0.475472806023177,3.57568605359768,-2.57381563681279,0.0224369917533752,0.999771520304591,-4.23947344777618
"9","GB40774",120,42,97,88,80,77,28,69,79,77,54,75,0.43071350745592,3.40731184261031,2.49471031149498,0.0261180399405186,0.999771520304591,-4.27724476757206
"10","GB41193",137,56,121,156,111,148,92,207,108,205,160,240,-0.45385525644803,4.36656597467013,-3.18910980728358,0.00675112509295625,0.999771520304591,-3.94577645947838
"11","GB41311",1703,527,866,888,1551,1220,284,1217,340,1033,455,1551,0.70023509165948,6.98149491236833,2.33249455806029,0.0355576492841091,0.999771520304591,-4.22503574837986
"12","GB41540",126,27,30,63,70,9,12,12,1,4,6,15,2.58055896387204,1.34204560573525,3.70439180111987,0.00245565360823711,0.999771520304591,-4.32291345808043
"13","GB41545",3814,1853,2900,2060,3000,2790,2144,4809,2427,4506,5268,6152,-0.530995176320671,8.93573410627267,-2.91807597513782,0.0114920489506867,0.999771520304591,-4.21993057456592
"14","GB41665",18,5,18,11,10,15,18,47,15,22,14,35,-0.882629139106555,1.35979647621769,-2.99886813054833,0.00980963899149118,0.999771520304591,-4.37595388712094
"15","GB41667",567,298,542,405,415,389,333,612,460,584,524,807,-0.314098791451747,6.17730712148883,-2.77659332333595,0.0151484092457,0.999771520304591,-4.00581017491881
"16","GB41736",28,35,29,66,21,51,25,4,4,41,19,16,1.37718588495855,1.75720801625227,2.57646097429595,0.0223229746070643,0.999771520304591,-4.40265046065083
"17","GB42053",61407,5645,16598,32831,36283,15699,7972,16273,5890,15808,8724,15017,0.985943982335693,11.1834116520668,2.64079408920868,0.0197164610895258,0.999771520304591,-4.39322229741105
"18","GB42319",375,160,229,403,326,294,117,181,174,347,204,193,0.577025686284903,5.15061965369652,3.14114826425911,0.00741860691802062,0.999771520304591,-3.86149963123185
"19","GB42358",30,13,27,19,24,26,18,26,47,57,36,71,-0.77132872902159,2.17779080217527,-3.11290507796367,0.00784199092442936,0.999771520304591,-4.29206557255446
"20","GB42377",173,111,152,182,164,212,117,212,150,219,245,342,-0.326073387262263,4.7843751666425,-2.2311363532225,0.0430137095587966,0.999771520304591,-4.21410908279987
"21","GB42469",53,15,82,50,41,64,30,61,44,92,118,193,-0.719285832431044,3.15065171668075,-2.2584654006837,0.0408699323077447,0.999771520304591,-4.35518069246614
"22","GB42563",8,4,11,14,13,18,11,20,23,19,17,24,-0.777060464905421,1.11703556117755,-2.91409368797331,0.0115819607841565,0.999771520304591,-4.4005838973875
"23","GB42979",69,34,76,54,54,62,36,80,73,87,69,102,-0.329728357802431,3.27442579604069,-2.29884813584391,0.0378856492135178,0.999771520304591,-4.33531539816471
"24","GB42981",298,523,514,389,1202,643,667,964,1218,1892,1339,946,-1.0197711462243,6.87258178891514,-2.89114150211728,0.0121138363138388,0.999771520304591,-4.04149969229456
"25","GB43330",62501,8956,11034,17017,9373,33210,9805,10441,5538,4182,9364,8471,1.19606974166799,10.7842335863765,2.68295769361248,0.0181708917548207,0.999771520304591,-4.37135696454354
"26","GB43377",100,76,89,87,81,46,44,70,58,58,43,48,0.571609707408513,3.28885676075507,2.3547703616221,0.0340916776181783,0.999771520304591,-4.32174270609367
