"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42867",96,74,75,51,18,67,13,21,10,13,21,29,1.62090687036235,2.23978834577264,6.30151338980145,2.55809877676497e-05,0.242456602061784,-0.228547869108319
"2","GB42866",83,70,75,57,34,46,27,14,7,16,22,21,1.65438528765836,2.24841436284676,5.82901620822814,5.54586246982206e-05,0.262818422444867,-0.508722707456331
"3","GB54998",617,470,530,682,267,617,240,272,153,190,276,306,1.06621199062739,5.69766272253234,5.31141779297952,0.000134147529455953,0.423816761394509,0.323120800403187
"4","GB40022",220,103,193,138,58,129,99,310,151,168,189,311,-0.662122970750746,4.55805144530134,-3.24736371039532,0.00625169722932147,0.493907249520246,-2.23688163015209
"5","GB40087",21,8,16,18,8,9,1,7,5,4,7,8,1.18836294225633,0.286326997115294,3.41814972392198,0.00449125551282392,0.493907249520246,-2.97120716595515
"6","GB40218",1180,183,809,754,117,278,578,1842,1059,815,1058,1222,-1.49731085030118,6.60069033969241,-3.96935723148806,0.00155831310858464,0.493907249520246,-1.39692956930306
"7","GB40690",93,99,151,151,30,90,32,38,12,59,50,76,1.10904559970627,3.17177277339628,4.38055681341274,0.000718813507524874,0.493907249520246,-1.16138612377121
"8","GB40694",180,134,155,122,65,102,56,70,50,48,58,92,0.881097231335084,3.69455211632951,4.19693032699071,0.00101337892333475,0.493907249520246,-1.16913320076926
"9","GB40740",45,39,22,39,10,16,6,8,1,8,20,9,1.64246446941455,1.02726029757717,3.66864777731112,0.00276992135217522,0.493907249520246,-2.61510617736387
"10","GB40748",231,150,400,249,86,197,135,329,167,247,349,347,-0.420144081419926,5.05419820455075,-3.26293899731026,0.00606583640420497,0.493907249520246,-2.20211161228631
"11","GB40890",51,35,104,70,27,39,35,81,48,76,92,97,-0.572051092616389,3.12334847518603,-3.29587314225948,0.00569087353008652,0.493907249520246,-2.36847871935014
"12","GB41011",1536,1344,1104,989,884,1040,713,636,380,407,453,587,1.07980459579639,6.84381613739634,3.33189623295002,0.00530732750600198,0.493907249520246,-2.2188361107126
"13","GB41352",23,14,28,26,5,11,5,9,9,6,11,8,0.905343371798039,0.786710035640166,3.61015429363594,0.00310001837759553,0.493907249520246,-2.72037178886669
"14","GB41655",722,253,645,327,126,622,346,614,594,727,893,747,-0.827425456286552,6.20218416186941,-3.27397065247814,0.00593755590770259,0.493907249520246,-2.23821784325914
"15","GB42035",142,82,296,91,89,211,44,74,36,72,73,85,0.982102786946338,3.77971782691996,3.50299835132987,0.00381185678694969,0.493907249520246,-2.00250865837785
"16","GB42150",1318,1039,1403,1377,691,1058,552,905,484,440,632,790,0.796106120202388,6.96125734115318,3.6509338934666,0.00286593464842869,0.493907249520246,-1.82876500081927
"17","GB42206",48,40,56,42,13,26,18,12,16,9,25,24,0.974948985691694,1.85852520426045,3.78119433120896,0.00223171828631229,0.493907249520246,-2.23325146222492
"18","GB42282",43,23,40,22,5,30,25,40,24,42,46,47,-0.698313410172237,2.13184919366421,-3.25498403953444,0.00616006085945812,0.493907249520246,-2.64945890748263
"19","GB42433",238,159,252,145,72,162,52,112,38,93,146,134,0.732374482776291,4.14415002426456,4.19473115147682,0.00101757746893734,0.493907249520246,-1.05256994189854
"20","GB42868",58,44,17,26,11,18,20,4,2,4,4,11,1.88556170088367,0.905544115009579,3.30192060076124,0.0056245929501318,0.493907249520246,-2.93342236773614
"21","GB42869",56,26,30,19,10,12,9,2,4,10,14,9,1.4917482105433,0.937984541963484,3.4008755498766,0.00464389465011415,0.493907249520246,-2.8448038943176
"22","GB43147",534,465,861,535,220,444,377,640,361,672,783,792,-0.366891950315001,6.29640746296433,-3.27262887750433,0.00595301211183918,0.493907249520246,-2.24316246358217
"23","GB43222",315,238,379,302,113,144,97,150,97,95,153,232,0.710111476223092,4.69798745737491,3.80474308728881,0.00213330923761158,0.493907249520246,-1.47723282922134
"24","GB43227",78,48,51,60,24,45,17,28,13,9,27,29,1.18238114666376,2.20573233549461,4.13623204651377,0.00113607918576387,0.493907249520246,-1.79313199773897
