"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB53888",606,242,1984,617,514,692,2925,5740,4858,1241,2916,5241,-1.89587354659127,7.97985987907962,-6.19643430527164,2.54396265953105e-05,0.245161681499007,-3.76194482178926
"2","GB40136",1418,200,3708,592,410,771,3298,19631,9869,617,6711,3657,-2.04886725152563,8.3356199321083,-3.1134834104563,0.00778133833239371,0.862305828667359,-4.21277761159439
"3","GB40137",2358,622,11918,4764,2558,5193,10680,15192,33078,5842,11426,10438,-1.48589120820446,10.0892355828327,-3.39095207907242,0.00450260806136402,0.862305828667359,-4.29286615931046
"4","GB40158",11,15,30,20,16,34,38,64,167,31,67,58,-1.11522908267096,2.58688668429615,-3.55619489642765,0.00325195253292659,0.862305828667359,-4.17958818010598
"5","GB40162",40,14,67,72,57,99,64,200,272,71,188,179,-0.941105886739025,3.86873193726446,-3.2252163824957,0.00624307509493961,0.862305828667359,-4.03130661011777
"6","GB40261",580,301,2356,994,434,1110,2837,3945,6032,875,2015,1924,-1.18997823759663,7.88557529281934,-3.42062657392182,0.00424682162441686,0.862305828667359,-4.10431275685194
"7","GB40283",51,29,79,98,47,87,97,127,137,87,145,148,-0.438553907003428,3.88447540926715,-3.05351294206932,0.00875681748521573,0.862305828667359,-4.0558471389715
"8","GB40336",542,129,773,491,537,566,1200,1765,1932,449,1458,1356,-0.912178702512512,7.00379019164975,-3.14131824914635,0.00736602851261634,0.862305828667359,-4.06153354383644
"9","GB40355",72,50,157,124,82,161,77,107,125,73,140,129,0.476628326697994,4.13991612990959,3.5871631199571,0.00305985793940763,0.862305828667359,-3.84420736138728
"10","GB40420",4,2,11,13,15,11,16,21,46,17,38,32,-1.14080382861194,1.35079154850216,-3.63771141145466,0.00277061752623691,0.862305828667359,-4.31088909674537
"11","GB40464",4,2,12,10,5,6,12,20,24,8,21,24,-0.961355810771286,0.83046968578601,-3.87170783382009,0.00175270423598272,0.862305828667359,-4.33076409982325
"12","GB40511",27,18,137,102,52,260,198,351,993,136,333,362,-1.53442974164443,4.67241985689021,-3.67473966295699,0.00257643207287043,0.862305828667359,-3.85340188757543
"13","GB41045",86,49,125,134,77,120,79,105,144,67,113,124,0.412517505744257,4.07512175448541,3.26844858270228,0.00573286117895894,0.862305828667359,-3.9463072845613
"14","GB41126",110,81,163,239,106,155,274,317,259,170,368,353,-0.533784050553814,5.06482528936328,-3.15462414055716,0.00717536143309475,0.862305828667359,-3.88145217500163
"15","GB41191",40,22,182,104,101,126,164,327,597,146,201,216,-0.994037705217405,4.56500274607017,-3.24397374481706,0.00601636013481643,0.862305828667359,-3.9302611421826
"16","GB41388",265,129,436,222,210,291,363,603,758,282,684,592,-0.520051481997621,5.92973324389195,-3.24907497787161,0.00595613788499302,0.862305828667359,-3.8880424902945
"17","GB41422",5,7,9,9,6,10,18,25,35,8,22,28,-0.928241536347225,1.16099573884147,-3.42859628140608,0.00418064749525003,0.862305828667359,-4.34416301912902
"18","GB42138",26,6,39,55,36,66,48,125,127,50,125,95,-0.90765404137616,3.17315334871189,-3.09027019769144,0.00814542446238484,0.862305828667359,-4.17317386342628
"19","GB42157",20,28,47,28,19,21,14,9,15,20,16,39,1.12471930000094,1.88365575092912,3.16038107780177,0.00709439721272549,0.862305828667359,-4.30869060057854
"20","GB42282",24,5,46,30,9,21,42,47,68,23,67,70,-0.843218478498347,2.38330391777671,-3.0435685014943,0.00892990460909384,0.862305828667359,-4.28026278199831
"21","GB42307",36,23,180,85,32,68,111,297,738,90,186,312,-1.37661880600386,4.26569945910691,-3.3858685412906,0.00454795452156606,0.862305828667359,-3.95769468732202
"22","GB42434",2010,479,6966,3890,3312,16959,16120,31605,30899,10362,12347,8488,-1.82095171145299,10.3057899810223,-3.04228796318777,0.00895243781660903,0.862305828667359,-4.34713315330017
"23","GB42924",23,12,46,33,17,63,55,144,322,33,153,112,-1.41691897392132,3.24160879817805,-3.5158925679188,0.00352030454190962,0.862305828667359,-4.09024563917364
"24","GB43129",1611,424,8465,3578,1250,1862,6318,9056,30986,2192,11207,11781,-1.7190997686272,9.47375457461242,-3.40127954097766,0.00441187784063805,0.862305828667359,-4.25354259908193
"25","GB43177",6,2,14,7,6,10,10,18,27,14,20,22,-0.797213528795963,0.958641320657251,-3.16690038210293,0.00700380892236035,0.862305828667359,-4.38234398487014
"26","GB43248",1209,272,5336,1739,877,2782,13549,23509,15461,1404,14522,6737,-2.25701212042963,9.28268235246341,-3.88297256297613,0.00171463864652652,0.862305828667359,-4.18138356772197
"27","GB43518",18,0,21,3,3,8,45,25,44,28,50,50,-2.30479819905697,1.30636165864137,-4.27115806956347,0.000809616680090509,0.862305828667359,-4.26667577207445
"28","GB43739",603,287,4931,1515,886,1867,4336,7201,15112,1474,4245,4266,-1.60724415187705,8.653873928919,-3.45624961271268,0.00395897366459095,0.862305828667359,-4.17955474747713
"29","GB43825",3894,2053,11751,3397,2173,3639,11616,27732,31427,2861,14053,14980,-1.28908686176872,10.2471110076581,-3.09657473405722,0.00804490044632159,0.862305828667359,-4.33640917049537
"30","GB43864",6,3,21,19,6,13,30,41,36,14,28,32,-0.977110244524873,1.53473430744776,-3.61821532750428,0.00287874813692355,0.862305828667359,-4.29618061916117
"31","GB44014",39,27,39,48,26,23,51,97,107,90,74,86,-0.808717388203357,3.16668269910051,-3.00216687617815,0.00968766863809166,0.862305828667359,-4.18899090438636
"32","GB44122",117,48,314,159,132,365,319,786,999,260,443,323,-0.952049942067284,5.52059225430613,-3.16498548839884,0.00703029699024461,0.862305828667359,-3.90892928961136
"33","GB44288",184,110,385,308,217,361,409,449,664,279,548,507,-0.383796475281938,5.83752817159575,-3.13807782823968,0.00741322036524931,0.862305828667359,-3.90813518676569
"34","GB44570",241,115,376,252,129,308,369,524,520,274,688,710,-0.606258786320593,5.80933680141663,-3.4399315249147,0.0040883105888887,0.862305828667359,-3.81954434815073
"35","GB44808",202,109,320,420,156,263,371,610,674,261,542,654,-0.571676371528984,5.83322539683417,-3.3473958579533,0.00490633734154756,0.862305828667359,-3.84940139304979
"36","GB44893",102,68,316,188,93,228,201,421,833,164,532,471,-0.77494594651013,5.32790673277363,-3.11867071867959,0.00770221461525233,0.862305828667359,-3.90861963916849
"37","GB45028",632,233,1072,621,297,364,825,2367,2417,540,1750,1398,-0.954204687242252,7.10143470606004,-3.17417034496857,0.00690414784548378,0.862305828667359,-4.06559294597627
"38","GB45123",14,11,29,30,14,52,38,61,118,28,87,68,-0.923006245436867,2.64837583833233,-3.38123454005514,0.00458969041403471,0.862305828667359,-4.19528355997784
"39","GB45269",9,2,10,15,3,14,19,25,37,12,24,23,-0.995955869867753,1.17622409173116,-3.26660925967198,0.00575369453609515,0.862305828667359,-4.35936984750203
"40","GB45395",45,23,98,87,60,99,111,194,375,72,182,186,-0.851212231844347,4.11801715771971,-3.5608281433343,0.0032224558113857,0.862305828667359,-3.89723048172476
"41","GB45440",121,46,119,106,65,77,167,166,671,97,355,289,-0.978570875673068,4.61328105817743,-3.16468156623787,0.0070345102040674,0.862305828667359,-3.93880636171497
"42","GB45806",47,20,125,69,39,90,104,199,238,60,170,144,-0.733459606408021,3.92563066276556,-3.24626137952823,0.00598927876160887,0.862305828667359,-4.00866606293131
"43","GB45855",186,175,1087,263,204,563,753,2206,2889,304,973,1224,-1.20404450165113,6.67259616245578,-3.02878571148106,0.00919348656762128,0.862305828667359,-4.06017400331629
"44","GB45906",562,1136,2849,3067,1645,1290,1001,665,798,924,1888,734,1.2056229169118,7.67835023506365,3.36489706245943,0.00473992407181816,0.862305828667359,-4.08896569327137
"45","GB46130",13,0,25,20,16,10,28,73,48,28,55,40,-1.53690445105976,1.77953251505607,-3.02106664629503,0.00933416615687717,0.862305828667359,-4.34739186993921
"46","GB46291",124,78,424,182,156,271,345,640,710,218,444,378,-0.671327733464584,5.56366434054173,-3.22505183311417,0.00624510123624372,0.862305828667359,-3.87254504912999
"47","GB46680",28,6,33,45,23,21,60,78,70,42,63,61,-0.836372529725099,2.69290627844592,-3.40965768444245,0.00433962398923434,0.862305828667359,-4.18425757240481
"48","GB46700",241,52,231,235,127,218,216,844,690,239,649,500,-0.888520892186911,5.56579753272796,-3.21267337323214,0.00639941725130587,0.862305828667359,-3.89138109248296
"49","GB46749",99,28,310,111,67,329,462,1404,2047,178,551,517,-1.7595068771516,5.53618396193072,-3.76845536465566,0.00214430958766076,0.862305828667359,-3.81470981565724
"50","GB46842",22,4,40,13,12,13,21,67,156,37,39,90,-1.39676357539731,2.29283221036624,-3.12818704102392,0.00755913244807323,0.862305828667359,-4.28318158130643
"51","GB47040",98,47,340,102,146,178,285,596,650,196,448,640,-1.13799801597319,5.33034610718721,-4.45061408822317,0.000575056252096199,0.862305828667359,-3.56170660613282
"52","GB47278",9,7,26,17,7,11,34,40,57,15,34,48,-1.04494211680856,1.82767957978167,-4.12123025021578,0.00108012017715812,0.862305828667359,-4.21389691602623
"53","GB47690",18,22,54,44,17,35,98,89,123,19,136,123,-1.03973554831444,3.09484987325155,-3.11812801600673,0.00771045504756242,0.862305828667359,-4.17943351067424
"54","GB47691",132,107,267,416,223,761,943,1643,1584,517,1512,982,-1.55788545714289,6.51552646568371,-4.63153591282655,0.000408762402348528,0.862305828667359,-3.6853622693242
