"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40012",80,31,36,140,78,90,76,123,137,164,136,119,-1.05137423869727,4.03365121581564,-2.92946145310247,0.0110411701204431,0.821380318625892,-4.1922060059994
"2","GB40016",17,3,11,7,15,5,5,17,10,47,28,22,-1.19613306825178,1.1640532387209,-3.36594083977656,0.00464984405043364,0.821380318625892,-4.41104755484052
"3","GB40069",20,4,20,13,12,7,7,24,18,30,30,37,-1.0698272313894,1.52702501141431,-3.43677349288655,0.00404033976513198,0.821380318625892,-4.38208225705334
"4","GB40084",51,31,75,60,54,40,34,49,65,120,103,75,-0.604399802017364,3.40478812784718,-3.41177959952196,0.00424566650452022,0.821380318625892,-4.18635195539357
"5","GB40109",699,738,1165,819,735,694,323,572,335,676,635,334,0.698338793590949,6.75892912083052,3.24616952591119,0.00589728628046503,0.821380318625892,-4.06125493379134
"6","GB40145",315,213,226,326,409,386,256,529,374,719,734,422,-0.74051715117931,6.09438580633817,-3.06844636699949,0.0083883612631046,0.821380318625892,-4.04604371298336
"7","GB40288",143,141,298,185,438,98,43,80,137,125,156,157,0.724629650223185,4.68459339905937,3.2216918035594,0.00619075243740476,0.821380318625892,-4.03832714380506
"8","GB40412",39,7,13,15,31,34,20,32,24,76,56,46,-1.13916243517296,2.32743370686365,-3.05755720711603,0.00857118276427902,0.821380318625892,-4.35836273436458
"9","GB40478",40,7,21,30,27,27,30,43,21,60,114,53,-1.19976858405465,2.5648526154555,-3.3484935979985,0.00481362907927702,0.821380318625892,-4.30359740642962
"10","GB40541",45,19,22,29,38,49,25,60,60,89,80,76,-1.13023737845955,2.99653317899094,-3.79865012810186,0.00197564462870189,0.821380318625892,-4.19624900780687
"11","GB41179",65,9,21,25,37,68,33,84,65,113,78,94,-1.43280076171753,3.10024869513035,-3.6026300725996,0.00290891009488004,0.821380318625892,-4.21053135098876
"12","GB41540",68,17,52,80,126,27,8,56,12,30,12,1,2.02863687949096,2.17168120609803,3.12254957353305,0.00753576602960501,0.821380318625892,-4.3720757350575
"13","GB41616",50,52,198,137,111,88,40,40,37,91,64,31,0.911054782657186,3.59185506976839,3.19976112194847,0.00646602552202853,0.821380318625892,-4.20042363079115
"14","GB41756",54,19,16,26,35,96,63,87,64,131,101,85,-1.55722614846447,3.28780211812474,-3.75680630315662,0.00214537557899372,0.821380318625892,-4.16434531490266
"15","GB42184",699,484,1147,933,1019,430,215,523,425,617,489,398,0.656118635257159,6.65146869217207,3.9504119606975,0.00146652931886684,0.821380318625892,-3.89440644874207
"16","GB42519",65,33,80,52,136,61,59,84,68,167,166,99,-0.724551929862314,3.85749878810983,-3.72361583169899,0.00229047609621574,0.821380318625892,-4.05893588657297
"17","GB42626",523,66,41,31,85,38,606,866,1240,1282,67,838,-3.39515639558376,5.23582730965954,-4.04428303234182,0.00122067526844451,0.821380318625892,-3.96614170193288
"18","GB42984",399,60,14,20,20,453,117,727,205,623,292,405,-2.87314430010209,4.70647166495225,-3.336908097596,0.00492556808142878,0.821380318625892,-4.09351577880169
