"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",22,31,28,50,39,153,46,50,114,344,163,162,-1.71589728758798,3.41871202321284,-3.72110900780836,0.00237449403964583,0.442183447483264,-1.71734612094001
"2","GB40285",101,27,110,35,45,66,3,6,12,4,63,35,2.04072692477783,1.97862393359868,3.77489652200336,0.0021378709051118,0.442183447483264,-2.15120199516525
"3","GB40361",132,122,203,122,148,141,60,64,116,86,109,137,0.466742231845746,4.11616864071187,3.33193687608682,0.00509431061620061,0.442183447483264,-2.07676954628659
"4","GB40489",2805,1335,1332,2022,2219,2517,1677,2276,2819,6602,2665,4418,-0.819026954205475,8.53776275323264,-3.4474642550218,0.00405935127215204,0.442183447483264,-2.00337657519187
"5","GB40577",437,365,735,320,303,433,128,130,328,170,340,255,0.804970040780698,5.47422712118908,3.74060550229191,0.00228579633442468,0.442183447483264,-1.37090963560463
"6","GB40618",792,155,319,653,429,1789,651,1256,1184,6340,2036,3330,-1.99394927797288,7.22061038688827,-3.74317964166589,0.00227433957325727,0.442183447483264,-1.46482041575061
"7","GB40734",52,49,60,41,58,49,43,48,104,115,74,98,-0.748068972107313,3.24303901480561,-4.84304100907434,0.000280191899608708,0.442183447483264,-0.461461800224045
"8","GB40754",8,5,6,12,8,18,16,7,21,19,48,29,-1.3577674136018,1.05580594457906,-3.63844450705566,0.0027910822565601,0.442183447483264,-2.53962778058294
"9","GB40806",1384,614,1952,467,530,1249,95,150,335,311,620,317,1.57648859013498,6.18707960246172,4.5715428246779,0.000464312593632371,0.442183447483264,-0.22499072753582
"10","GB41097",297,443,1077,1191,860,1886,91,174,188,84,792,330,1.83010878153636,5.93241777418985,3.39960587111423,0.00445965977752192,0.442183447483264,-1.91584840719732
"11","GB41222",125,172,329,107,138,189,66,54,90,65,128,62,1.01942079410688,4.07152678978121,3.35583355529838,0.00486044926510623,0.442183447483264,-2.05852497298371
"12","GB41362",64,41,54,35,45,43,15,16,23,24,41,39,0.725157291791202,2.3698085626956,3.67692941732572,0.00258863389135067,0.442183447483264,-2.06373044129923
"13","GB41369",378,145,819,117,127,327,12,37,88,65,193,70,1.85663370935486,4.17494568103851,3.52026957376511,0.00351860766895161,0.442183447483264,-1.85182936884491
"14","GB41374",47,32,29,33,40,24,36,26,72,90,43,59,-0.764975211957443,2.64723616150522,-3.38619333861746,0.00457880818997573,0.442183447483264,-2.3044122806508
"15","GB41390",1063,493,506,750,848,1910,682,1234,1405,4706,1872,3721,-1.2965584990311,7.5480267819844,-3.57669118910724,0.00314999528114826,0.442183447483264,-1.72802357588226
"16","GB41760",22181,3181,12117,8918,5248,9130,724,999,3735,1760,6758,4921,1.71376795798442,9.3926920727052,3.71246087818034,0.00241494887890119,0.442183447483264,-1.78886931339369
"17","GB41801",170,89,202,146,155,168,52,61,103,82,114,167,0.57002079269269,4.14260013818112,3.70010968228142,0.00247394204125726,0.442183447483264,-1.5525837511372
"18","GB41886",480,473,977,591,505,478,207,262,368,325,481,441,0.575051148146891,6.03830311332432,3.34785918770372,0.00493726697611566,0.442183447483264,-1.97336229257098
"19","GB42549",35,35,85,46,70,53,6,29,46,24,17,20,1.14465879744957,2.30811396068985,3.37855510229037,0.00464808523845001,0.442183447483264,-2.41447994476282
"20","GB42929",6161,3892,3035,4509,5277,6526,4753,4880,6876,12547,6785,9251,-0.753192845418086,9.77747309382539,-3.36369378611449,0.00478590474889475,0.442183447483264,-2.25526523161075
"21","GB43003",14,16,85,21,19,26,3,5,3,1,37,1,2.42272784479477,0.630729782697992,3.42282272028085,0.00426073342731083,0.442183447483264,-2.84567276878173
"22","GB43171",492,349,779,436,426,415,161,183,314,285,337,247,0.748813349483974,5.68332112925043,4.79374360291091,0.000306899061191913,0.442183447483264,0.152766011221192
"23","GB43482",3896,2484,1892,2619,3419,5086,3643,3582,5016,11079,4823,6882,-0.981191018609923,9.26553776491463,-3.73575730284183,0.00230753365988724,0.442183447483264,-1.72864193200279
